"Pre-campaign expenditure";"Pre-campaign visits";"Total number of visits";"Total spend";"52 Mosaic Groups";"Mosaic Bands";"Year Of Birth";"Age";"Response to campaign"
88.0;2.0;2.0;88.0;16.0;4.0;1972.0;22.0;"Non-responder"
54.0;6.0;6.0;54.0;8.0;2.0;1972.0;22.0;"Non-responder"
63.0;2.0;2.0;63.0;36.0;8.0;1972.0;22.0;"Non-responder"
55.0;2.0;2.0;55.0;12.0;3.0;1972.0;22.0;"Non-responder"
57.0;1.0;1.0;57.0;11.0;3.0;1972.0;22.0;"Non-responder"
55.0;1.0;1.0;55.0;14.0;4.0;1972.0;22.0;"Non-responder"
52.0;1.0;1.0;52.0;26.0;6.0;1972.0;22.0;"Non-responder"
255.0;14.0;16.0;263.0;11.0;3.0;1971.0;23.0;"Responder"
84.0;1.0;1.0;84.0;39.0;9.0;1971.0;23.0;"Non-responder"
82.0;2.0;2.0;82.0;30.0;7.0;1971.0;23.0;"Non-responder"
117.0;6.0;6.0;117.0;29.0;6.0;1971.0;23.0;"Non-responder"
60.0;5.0;5.0;60.0;11.0;3.0;1971.0;23.0;"Non-responder"
76.0;3.0;3.0;76.0;43.0;10.0;1971.0;23.0;"Non-responder"
120.0;4.0;4.0;120.0;37.0;9.0;1971.0;23.0;"Non-responder"
52.0;1.0;1.0;52.0;23.0;5.0;1971.0;23.0;"Non-responder"
83.0;4.0;4.0;83.0;11.0;3.0;1971.0;23.0;"Non-responder"
70.0;6.0;6.0;70.0;50.0;11.0;1971.0;23.0;"Non-responder"
98.0;6.0;6.0;98.0;16.0;4.0;1971.0;23.0;"Non-responder"
85.0;6.0;6.0;85.0;29.0;6.0;1971.0;23.0;"Non-responder"
67.0;4.0;4.0;67.0;43.0;10.0;1971.0;23.0;"Non-responder"
69.0;2.0;2.0;69.0;17.0;4.0;1971.0;23.0;"Non-responder"
61.0;1.0;6.0;180.0;8.0;2.0;1971.0;23.0;"Responder"
96.0;5.0;6.0;104.0;11.0;3.0;1971.0;23.0;"Responder"
99.0;2.0;2.0;99.0;32.0;7.0;1971.0;23.0;"Non-responder"
37.0;3.0;3.0;37.0;30.0;7.0;1971.0;23.0;"Non-responder"
52.0;1.0;1.0;52.0;44.0;10.0;1971.0;23.0;"Non-responder"
91.0;1.0;1.0;91.0;7.0;2.0;1971.0;23.0;"Non-responder"
89.0;3.0;3.0;89.0;11.0;3.0;1971.0;23.0;"Non-responder"
69.0;3.0;3.0;69.0;15.0;4.0;1971.0;23.0;"Non-responder"
54.0;4.0;4.0;54.0;29.0;6.0;1971.0;23.0;"Non-responder"
53.0;7.0;7.0;53.0;11.0;3.0;1971.0;23.0;"Non-responder"
60.0;1.0;1.0;60.0;40.0;9.0;1971.0;23.0;"Non-responder"
349.0;17.0;20.0;422.0;8.0;2.0;1970.0;24.0;"Responder"
32.0;5.0;6.0;39.0;10.0;3.0;1970.0;24.0;"Responder"
190.0;6.0;8.0;198.0;42.0;10.0;1970.0;24.0;"Responder"
78.0;6.0;7.0;95.0;30.0;7.0;1970.0;24.0;"Responder"
70.0;2.0;3.0;84.0;7.0;2.0;1970.0;24.0;"Responder"
73.0;2.0;2.0;73.0;17.0;4.0;1970.0;24.0;"Non-responder"
75.0;1.0;1.0;75.0;47.0;11.0;1970.0;24.0;"Non-responder"
57.0;1.0;1.0;57.0;29.0;6.0;1970.0;24.0;"Non-responder"
51.0;5.0;5.0;51.0;2.0;1.0;1970.0;24.0;"Non-responder"
63.0;3.0;3.0;63.0;7.0;2.0;1970.0;24.0;"Non-responder"
77.0;4.0;4.0;77.0;17.0;4.0;1970.0;24.0;"Non-responder"
90.0;1.0;1.0;90.0;17.0;4.0;1970.0;24.0;"Non-responder"
67.0;8.0;8.0;67.0;43.0;10.0;1970.0;24.0;"Non-responder"
91.0;2.0;2.0;91.0;41.0;10.0;1970.0;24.0;"Non-responder"
60.0;2.0;2.0;60.0;12.0;3.0;1970.0;24.0;"Non-responder"
51.0;2.0;2.0;51.0;34.0;8.0;1970.0;24.0;"Non-responder"
92.0;1.0;1.0;92.0;20.0;5.0;1970.0;24.0;"Non-responder"
91.0;6.0;8.0;104.0;12.0;3.0;1970.0;24.0;"Responder"
92.0;5.0;6.0;94.0;29.0;6.0;1970.0;24.0;"Responder"
54.0;5.0;7.0;62.0;41.0;10.0;1970.0;24.0;"Responder"
64.0;10.0;12.0;76.0;20.0;5.0;1970.0;24.0;"Responder"
0.0;0.0;0.0;0.0;30.0;7.0;1970.0;24.0;"Non-responder"
56.0;2.0;2.0;56.0;51.0;12.0;1970.0;24.0;"Non-responder"
56.0;3.0;3.0;56.0;40.0;9.0;1970.0;24.0;"Non-responder"
92.0;4.0;4.0;92.0;41.0;10.0;1970.0;24.0;"Non-responder"
74.0;4.0;4.0;74.0;11.0;3.0;1970.0;24.0;"Non-responder"
80.0;3.0;3.0;80.0;16.0;4.0;1970.0;24.0;"Non-responder"
66.0;2.0;2.0;66.0;17.0;4.0;1970.0;24.0;"Non-responder"
88.0;8.0;8.0;88.0;30.0;7.0;1970.0;24.0;"Non-responder"
182.0;6.0;6.0;182.0;11.0;3.0;1970.0;24.0;"Non-responder"
58.0;1.0;1.0;58.0;12.0;3.0;1970.0;24.0;"Non-responder"
89.0;3.0;3.0;89.0;44.0;10.0;1970.0;24.0;"Non-responder"
67.0;1.0;3.0;103.0;37.0;9.0;1969.0;25.0;"Responder"
98.0;1.0;2.0;151.0;44.0;10.0;1969.0;25.0;"Responder"
67.0;3.0;6.0;148.0;3.0;1.0;1969.0;25.0;"Responder"
85.0;1.0;1.0;85.0;30.0;7.0;1969.0;25.0;"Non-responder"
54.0;2.0;2.0;54.0;18.0;5.0;1969.0;25.0;"Non-responder"
87.0;3.0;3.0;87.0;27.0;6.0;1969.0;25.0;"Non-responder"
91.0;1.0;1.0;91.0;14.0;4.0;1969.0;25.0;"Non-responder"
51.0;4.0;4.0;51.0;11.0;3.0;1969.0;25.0;"Non-responder"
72.0;1.0;1.0;72.0;43.0;10.0;1969.0;25.0;"Non-responder"
89.0;1.0;1.0;89.0;10.0;3.0;1969.0;25.0;"Non-responder"
51.0;3.0;3.0;51.0;15.0;4.0;1969.0;25.0;"Non-responder"
62.0;1.0;1.0;62.0;10.0;3.0;1969.0;25.0;"Non-responder"
69.0;4.0;4.0;69.0;2.0;1.0;1969.0;25.0;"Non-responder"
71.0;2.0;2.0;71.0;11.0;3.0;1969.0;25.0;"Non-responder"
85.0;1.0;4.0;112.0;29.0;6.0;1969.0;25.0;"Responder"
86.0;11.0;16.0;148.0;9.0;3.0;1969.0;25.0;"Responder"
121.0;6.0;9.0;153.0;17.0;4.0;1969.0;25.0;"Responder"
50.0;3.0;5.0;72.0;9.0;3.0;1969.0;25.0;"Responder"
17.0;1.0;5.0;60.0;28.0;6.0;1969.0;25.0;"Responder"
83.0;5.0;7.0;111.0;24.0;6.0;1969.0;25.0;"Responder"
251.0;6.0;6.0;251.0;29.0;6.0;1969.0;25.0;"Non-responder"
58.0;2.0;2.0;58.0;17.0;4.0;1969.0;25.0;"Non-responder"
61.0;2.0;2.0;61.0;15.0;4.0;1969.0;25.0;"Non-responder"
68.0;1.0;1.0;68.0;30.0;7.0;1969.0;25.0;"Non-responder"
95.0;1.0;1.0;95.0;23.0;5.0;1969.0;25.0;"Non-responder"
57.0;4.0;4.0;57.0;31.0;7.0;1969.0;25.0;"Non-responder"
69.0;3.0;3.0;69.0;16.0;4.0;1969.0;25.0;"Non-responder"
85.0;3.0;3.0;85.0;11.0;3.0;1969.0;25.0;"Non-responder"
53.0;2.0;2.0;53.0;44.0;10.0;1969.0;25.0;"Non-responder"
59.0;1.0;1.0;59.0;10.0;3.0;1969.0;25.0;"Non-responder"
59.0;7.0;7.0;59.0;42.0;10.0;1969.0;25.0;"Non-responder"
83.0;2.0;2.0;83.0;15.0;4.0;1969.0;25.0;"Non-responder"
80.0;1.0;1.0;80.0;1.0;1.0;1969.0;25.0;"Non-responder"
64.0;7.0;7.0;64.0;43.0;10.0;1969.0;25.0;"Non-responder"
76.0;10.0;10.0;76.0;34.0;8.0;1969.0;25.0;"Non-responder"
62.0;2.0;2.0;62.0;29.0;6.0;1969.0;25.0;"Non-responder"
53.0;1.0;1.0;53.0;12.0;3.0;1969.0;25.0;"Non-responder"
111.0;2.0;2.0;111.0;1.0;1.0;1969.0;25.0;"Non-responder"
63.0;4.0;4.0;63.0;12.0;3.0;1969.0;25.0;"Non-responder"
57.0;2.0;2.0;57.0;11.0;3.0;1969.0;25.0;"Non-responder"
72.0;1.0;1.0;72.0;8.0;2.0;1969.0;25.0;"Non-responder"
60.0;1.0;1.0;60.0;41.0;10.0;1969.0;25.0;"Non-responder"
74.0;2.0;2.0;74.0;44.0;10.0;1969.0;25.0;"Non-responder"
99.0;1.0;1.0;99.0;10.0;3.0;1969.0;25.0;"Non-responder"
83.0;2.0;2.0;83.0;29.0;6.0;1969.0;25.0;"Non-responder"
84.0;1.0;1.0;84.0;24.0;6.0;1969.0;25.0;"Non-responder"
77.0;10.0;10.0;77.0;2.0;1.0;1969.0;25.0;"Non-responder"
91.0;6.0;7.0;93.0;31.0;7.0;1968.0;26.0;"Responder"
71.0;5.0;6.0;76.0;43.0;10.0;1968.0;26.0;"Responder"
88.0;4.0;13.0;324.0;13.0;4.0;1968.0;26.0;"Responder"
53.0;1.0;3.0;226.0;43.0;10.0;1968.0;26.0;"Responder"
61.0;1.0;3.0;93.0;12.0;3.0;1968.0;26.0;"Responder"
198.0;16.0;16.0;198.0;24.0;6.0;1968.0;26.0;"Non-responder"
58.0;8.0;8.0;58.0;44.0;10.0;1968.0;26.0;"Non-responder"
51.0;2.0;2.0;51.0;29.0;6.0;1968.0;26.0;"Non-responder"
95.0;7.0;7.0;95.0;11.0;3.0;1968.0;26.0;"Non-responder"
83.0;2.0;2.0;83.0;16.0;4.0;1968.0;26.0;"Non-responder"
70.0;6.0;6.0;70.0;6.0;2.0;1968.0;26.0;"Non-responder"
70.0;1.0;1.0;70.0;50.0;11.0;1968.0;26.0;"Non-responder"
68.0;1.0;1.0;68.0;6.0;2.0;1968.0;26.0;"Non-responder"
76.0;2.0;2.0;76.0;17.0;4.0;1968.0;26.0;"Non-responder"
78.0;2.0;2.0;78.0;9.0;3.0;1968.0;26.0;"Non-responder"
63.0;2.0;2.0;63.0;44.0;10.0;1968.0;26.0;"Non-responder"
79.0;2.0;2.0;79.0;17.0;4.0;1968.0;26.0;"Non-responder"
59.0;7.0;7.0;59.0;27.0;6.0;1968.0;26.0;"Non-responder"
94.0;1.0;1.0;94.0;45.0;11.0;1968.0;26.0;"Non-responder"
75.0;1.0;1.0;75.0;22.0;5.0;1968.0;26.0;"Non-responder"
52.0;1.0;1.0;52.0;40.0;9.0;1968.0;26.0;"Non-responder"
366.0;36.0;38.0;399.0;9.0;3.0;1968.0;26.0;"Responder"
58.0;3.0;4.0;63.0;29.0;6.0;1968.0;26.0;"Responder"
80.0;8.0;12.0;139.0;43.0;10.0;1968.0;26.0;"Responder"
99.0;1.0;1.0;99.0;6.0;2.0;1968.0;26.0;"Non-responder"
86.0;2.0;2.0;86.0;12.0;3.0;1968.0;26.0;"Non-responder"
79.0;1.0;1.0;79.0;4.0;1.0;1968.0;26.0;"Non-responder"
60.0;2.0;2.0;60.0;11.0;3.0;1968.0;26.0;"Non-responder"
77.0;1.0;1.0;77.0;8.0;2.0;1968.0;26.0;"Non-responder"
52.0;1.0;1.0;52.0;28.0;6.0;1968.0;26.0;"Non-responder"
87.0;1.0;1.0;87.0;11.0;3.0;1968.0;26.0;"Non-responder"
97.0;2.0;2.0;97.0;6.0;2.0;1968.0;26.0;"Non-responder"
80.0;4.0;4.0;80.0;29.0;6.0;1968.0;26.0;"Non-responder"
86.0;10.0;10.0;86.0;13.0;4.0;1968.0;26.0;"Non-responder"
74.0;3.0;3.0;74.0;29.0;6.0;1968.0;26.0;"Non-responder"
73.0;1.0;1.0;73.0;32.0;7.0;1968.0;26.0;"Non-responder"
96.0;1.0;1.0;96.0;47.0;11.0;1968.0;26.0;"Non-responder"
59.0;3.0;3.0;59.0;41.0;10.0;1968.0;26.0;"Non-responder"
53.0;1.0;1.0;53.0;39.0;9.0;1968.0;26.0;"Non-responder"
63.0;3.0;3.0;63.0;41.0;10.0;1968.0;26.0;"Non-responder"
60.0;2.0;2.0;60.0;32.0;7.0;1968.0;26.0;"Non-responder"
93.0;3.0;3.0;93.0;16.0;4.0;1968.0;26.0;"Non-responder"
65.0;4.0;4.0;65.0;44.0;10.0;1968.0;26.0;"Non-responder"
75.0;3.0;3.0;75.0;24.0;6.0;1968.0;26.0;"Non-responder"
80.0;1.0;1.0;80.0;10.0;3.0;1968.0;26.0;"Non-responder"
51.0;1.0;1.0;51.0;43.0;10.0;1968.0;26.0;"Non-responder"
98.0;3.0;3.0;98.0;32.0;7.0;1968.0;26.0;"Non-responder"
17.0;4.0;5.0;20.0;43.0;10.0;1967.0;27.0;"Responder"
99.0;5.0;7.0;126.0;14.0;4.0;1967.0;27.0;"Responder"
58.0;3.0;4.0;67.0;16.0;4.0;1967.0;27.0;"Responder"
155.0;7.0;8.0;174.0;7.0;2.0;1967.0;27.0;"Responder"
50.0;1.0;1.0;50.0;28.0;6.0;1967.0;27.0;"Non-responder"
84.0;3.0;3.0;84.0;24.0;6.0;1967.0;27.0;"Non-responder"
78.0;1.0;1.0;78.0;16.0;4.0;1967.0;27.0;"Non-responder"
64.0;1.0;1.0;64.0;44.0;10.0;1967.0;27.0;"Non-responder"
97.0;9.0;9.0;97.0;43.0;10.0;1967.0;27.0;"Non-responder"
52.0;1.0;1.0;52.0;8.0;2.0;1967.0;27.0;"Non-responder"
91.0;1.0;1.0;91.0;39.0;9.0;1967.0;27.0;"Non-responder"
52.0;1.0;1.0;52.0;33.0;8.0;1967.0;27.0;"Non-responder"
86.0;6.0;6.0;86.0;29.0;6.0;1967.0;27.0;"Non-responder"
90.0;2.0;2.0;90.0;13.0;4.0;1967.0;27.0;"Non-responder"
79.0;2.0;2.0;79.0;7.0;2.0;1967.0;27.0;"Non-responder"
44.0;3.0;3.0;44.0;42.0;10.0;1967.0;27.0;"Non-responder"
68.0;2.0;2.0;68.0;12.0;3.0;1967.0;27.0;"Non-responder"
71.0;2.0;2.0;71.0;44.0;10.0;1967.0;27.0;"Non-responder"
56.0;1.0;1.0;56.0;23.0;5.0;1967.0;27.0;"Non-responder"
56.0;3.0;4.0;62.0;29.0;6.0;1967.0;27.0;"Responder"
84.0;1.0;2.0;99.0;12.0;3.0;1967.0;27.0;"Responder"
85.0;2.0;3.0;114.0;8.0;2.0;1967.0;27.0;"Responder"
94.0;5.0;6.0;105.0;12.0;3.0;1967.0;27.0;"Responder"
71.0;5.0;6.0;82.0;11.0;3.0;1967.0;27.0;"Responder"
71.0;5.0;12.0;110.0;10.0;3.0;1967.0;27.0;"Responder"
74.0;1.0;2.0;117.0;44.0;10.0;1967.0;27.0;"Responder"
77.0;6.0;10.0;0.0;15.0;4.0;1967.0;27.0;"Responder"
69.0;2.0;2.0;69.0;26.0;6.0;1967.0;27.0;"Non-responder"
52.0;6.0;6.0;52.0;8.0;2.0;1967.0;27.0;"Non-responder"
90.0;1.0;1.0;90.0;12.0;3.0;1967.0;27.0;"Non-responder"
53.0;1.0;1.0;53.0;42.0;10.0;1967.0;27.0;"Non-responder"
71.0;1.0;1.0;71.0;30.0;7.0;1967.0;27.0;"Non-responder"
57.0;1.0;1.0;57.0;34.0;8.0;1967.0;27.0;"Non-responder"
60.0;3.0;3.0;60.0;12.0;3.0;1967.0;27.0;"Non-responder"
90.0;3.0;3.0;90.0;17.0;4.0;1967.0;27.0;"Non-responder"
80.0;7.0;7.0;80.0;29.0;6.0;1967.0;27.0;"Non-responder"
85.0;5.0;5.0;85.0;27.0;6.0;1967.0;27.0;"Non-responder"
83.0;6.0;6.0;83.0;29.0;6.0;1967.0;27.0;"Non-responder"
73.0;2.0;2.0;73.0;17.0;4.0;1967.0;27.0;"Non-responder"
58.0;3.0;3.0;58.0;12.0;3.0;1967.0;27.0;"Non-responder"
82.0;1.0;1.0;82.0;11.0;3.0;1967.0;27.0;"Non-responder"
68.0;1.0;1.0;68.0;17.0;4.0;1967.0;27.0;"Non-responder"
74.0;6.0;6.0;74.0;10.0;3.0;1967.0;27.0;"Non-responder"
69.0;4.0;4.0;69.0;6.0;2.0;1967.0;27.0;"Non-responder"
85.0;8.0;8.0;85.0;11.0;3.0;1967.0;27.0;"Non-responder"
83.0;3.0;3.0;83.0;23.0;5.0;1967.0;27.0;"Non-responder"
61.0;2.0;2.0;61.0;42.0;10.0;1967.0;27.0;"Non-responder"
53.0;2.0;2.0;53.0;28.0;6.0;1967.0;27.0;"Non-responder"
69.0;2.0;2.0;69.0;41.0;10.0;1967.0;27.0;"Non-responder"
96.0;2.0;2.0;96.0;34.0;8.0;1967.0;27.0;"Non-responder"
92.0;5.0;5.0;92.0;16.0;4.0;1967.0;27.0;"Non-responder"
62.0;3.0;3.0;62.0;30.0;7.0;1967.0;27.0;"Non-responder"
32.0;1.0;1.0;32.0;7.0;2.0;1967.0;27.0;"Non-responder"
93.0;2.0;2.0;93.0;2.0;1.0;1967.0;27.0;"Non-responder"
57.0;1.0;1.0;57.0;7.0;2.0;1967.0;27.0;"Non-responder"
78.0;7.0;7.0;78.0;30.0;7.0;1967.0;27.0;"Non-responder"
70.0;1.0;1.0;70.0;24.0;6.0;1967.0;27.0;"Non-responder"
161.0;10.0;11.0;182.0;36.0;8.0;1966.0;28.0;"Responder"
56.0;1.0;3.0;50.0;2.0;1.0;1966.0;28.0;"Responder"
88.0;5.0;6.0;99.0;14.0;4.0;1966.0;28.0;"Responder"
100.0;19.0;23.0;197.0;43.0;10.0;1966.0;28.0;"Responder"
36.0;2.0;3.0;42.0;6.0;2.0;1966.0;28.0;"Responder"
75.0;3.0;4.0;80.0;15.0;4.0;1966.0;28.0;"Responder"
87.0;3.0;5.0;93.0;8.0;2.0;1966.0;28.0;"Responder"
265.0;16.0;16.0;265.0;11.0;3.0;1966.0;28.0;"Non-responder"
85.0;3.0;3.0;85.0;29.0;6.0;1966.0;28.0;"Non-responder"
59.0;3.0;3.0;59.0;36.0;8.0;1966.0;28.0;"Non-responder"
78.0;6.0;6.0;78.0;31.0;7.0;1966.0;28.0;"Non-responder"
60.0;1.0;1.0;60.0;11.0;3.0;1966.0;28.0;"Non-responder"
104.0;4.0;4.0;104.0;11.0;3.0;1966.0;28.0;"Non-responder"
51.0;4.0;4.0;51.0;26.0;6.0;1966.0;28.0;"Non-responder"
71.0;1.0;1.0;71.0;29.0;6.0;1966.0;28.0;"Non-responder"
95.0;1.0;1.0;95.0;44.0;10.0;1966.0;28.0;"Non-responder"
66.0;1.0;1.0;66.0;31.0;7.0;1966.0;28.0;"Non-responder"
60.0;1.0;1.0;60.0;15.0;4.0;1966.0;28.0;"Non-responder"
95.0;1.0;1.0;95.0;13.0;4.0;1966.0;28.0;"Non-responder"
77.0;4.0;4.0;77.0;44.0;10.0;1966.0;28.0;"Non-responder"
76.0;1.0;1.0;76.0;8.0;2.0;1966.0;28.0;"Non-responder"
51.0;6.0;6.0;51.0;11.0;3.0;1966.0;28.0;"Non-responder"
89.0;1.0;1.0;89.0;1.0;1.0;1966.0;28.0;"Non-responder"
66.0;1.0;1.0;66.0;36.0;8.0;1966.0;28.0;"Non-responder"
56.0;4.0;6.0;146.0;12.0;3.0;1966.0;28.0;"Responder"
69.0;3.0;4.0;75.0;17.0;4.0;1966.0;28.0;"Responder"
98.0;4.0;7.0;137.0;7.0;2.0;1966.0;28.0;"Responder"
23.0;2.0;2.0;23.0;36.0;8.0;1966.0;28.0;"Non-responder"
0.0;0.0;0.0;0.0;17.0;4.0;1966.0;28.0;"Non-responder"
65.0;1.0;1.0;65.0;31.0;7.0;1966.0;28.0;"Non-responder"
84.0;3.0;3.0;84.0;47.0;11.0;1966.0;28.0;"Non-responder"
52.0;1.0;1.0;52.0;6.0;2.0;1966.0;28.0;"Non-responder"
92.0;4.0;4.0;92.0;17.0;4.0;1966.0;28.0;"Non-responder"
87.0;2.0;2.0;87.0;47.0;11.0;1966.0;28.0;"Non-responder"
55.0;7.0;7.0;55.0;10.0;3.0;1966.0;28.0;"Non-responder"
80.0;1.0;1.0;80.0;43.0;10.0;1966.0;28.0;"Non-responder"
89.0;1.0;1.0;89.0;6.0;2.0;1966.0;28.0;"Non-responder"
111.0;2.0;2.0;111.0;11.0;3.0;1966.0;28.0;"Non-responder"
82.0;4.0;4.0;82.0;29.0;6.0;1966.0;28.0;"Non-responder"
78.0;2.0;2.0;78.0;15.0;4.0;1966.0;28.0;"Non-responder"
88.0;2.0;2.0;88.0;17.0;4.0;1966.0;28.0;"Non-responder"
52.0;1.0;1.0;52.0;16.0;4.0;1966.0;28.0;"Non-responder"
50.0;1.0;1.0;50.0;2.0;1.0;1966.0;28.0;"Non-responder"
65.0;4.0;4.0;65.0;43.0;10.0;1966.0;28.0;"Non-responder"
80.0;1.0;1.0;80.0;6.0;2.0;1966.0;28.0;"Non-responder"
71.0;5.0;5.0;71.0;2.0;1.0;1966.0;28.0;"Non-responder"
75.0;3.0;3.0;75.0;29.0;6.0;1966.0;28.0;"Non-responder"
65.0;3.0;3.0;65.0;11.0;3.0;1966.0;28.0;"Non-responder"
57.0;1.0;1.0;57.0;28.0;6.0;1966.0;28.0;"Non-responder"
60.0;1.0;1.0;60.0;7.0;2.0;1966.0;28.0;"Non-responder"
90.0;1.0;1.0;90.0;7.0;2.0;1966.0;28.0;"Non-responder"
71.0;2.0;2.0;71.0;31.0;7.0;1966.0;28.0;"Non-responder"
357.0;18.0;22.0;390.0;6.0;2.0;1965.0;29.0;"Responder"
281.0;20.0;24.0;343.0;24.0;6.0;1965.0;29.0;"Responder"
76.0;2.0;3.0;83.0;7.0;2.0;1965.0;29.0;"Responder"
70.0;3.0;5.0;74.0;24.0;6.0;1965.0;29.0;"Responder"
85.0;1.0;2.0;98.0;50.0;11.0;1965.0;29.0;"Responder"
105.0;4.0;5.0;108.0;12.0;3.0;1965.0;29.0;"Responder"
69.0;2.0;2.0;69.0;10.0;3.0;1965.0;29.0;"Non-responder"
183.0;13.0;13.0;183.0;10.0;3.0;1965.0;29.0;"Non-responder"
60.0;2.0;2.0;60.0;48.0;11.0;1965.0;29.0;"Non-responder"
68.0;2.0;2.0;68.0;18.0;5.0;1965.0;29.0;"Non-responder"
94.0;4.0;4.0;94.0;11.0;3.0;1965.0;29.0;"Non-responder"
32.0;2.0;2.0;32.0;11.0;3.0;1965.0;29.0;"Non-responder"
52.0;2.0;2.0;52.0;2.0;1.0;1965.0;29.0;"Non-responder"
69.0;3.0;3.0;69.0;14.0;4.0;1965.0;29.0;"Non-responder"
78.0;4.0;4.0;78.0;29.0;6.0;1965.0;29.0;"Non-responder"
79.0;1.0;1.0;79.0;10.0;3.0;1965.0;29.0;"Non-responder"
86.0;9.0;9.0;86.0;37.0;9.0;1965.0;29.0;"Non-responder"
34.0;1.0;1.0;34.0;43.0;10.0;1965.0;29.0;"Non-responder"
64.0;2.0;2.0;64.0;20.0;5.0;1965.0;29.0;"Non-responder"
92.0;3.0;3.0;92.0;32.0;7.0;1965.0;29.0;"Non-responder"
87.0;13.0;13.0;87.0;44.0;10.0;1965.0;29.0;"Non-responder"
71.0;2.0;2.0;71.0;12.0;3.0;1965.0;29.0;"Non-responder"
90.0;6.0;6.0;90.0;43.0;10.0;1965.0;29.0;"Non-responder"
219.0;11.0;14.0;300.0;43.0;10.0;1965.0;29.0;"Responder"
73.0;12.0;13.0;79.0;6.0;2.0;1965.0;29.0;"Responder"
82.0;9.0;11.0;111.0;15.0;4.0;1965.0;29.0;"Responder"
53.0;2.0;4.0;69.0;30.0;7.0;1965.0;29.0;"Responder"
55.0;7.0;11.0;115.0;31.0;7.0;1965.0;29.0;"Responder"
36.0;4.0;6.0;49.0;12.0;3.0;1965.0;29.0;"Responder"
83.0;3.0;6.0;119.0;2.0;1.0;1965.0;29.0;"Responder"
97.0;2.0;2.0;97.0;8.0;2.0;1965.0;29.0;"Non-responder"
54.0;5.0;5.0;54.0;30.0;7.0;1965.0;29.0;"Non-responder"
109.0;14.0;14.0;109.0;11.0;3.0;1965.0;29.0;"Non-responder"
84.0;5.0;5.0;84.0;16.0;4.0;1965.0;29.0;"Non-responder"
53.0;2.0;2.0;53.0;33.0;8.0;1965.0;29.0;"Non-responder"
54.0;1.0;1.0;54.0;16.0;4.0;1965.0;29.0;"Non-responder"
101.0;7.0;7.0;101.0;11.0;3.0;1965.0;29.0;"Non-responder"
61.0;3.0;3.0;61.0;44.0;10.0;1965.0;29.0;"Non-responder"
56.0;2.0;2.0;56.0;7.0;2.0;1965.0;29.0;"Non-responder"
86.0;5.0;5.0;86.0;6.0;2.0;1965.0;29.0;"Non-responder"
57.0;2.0;2.0;57.0;30.0;7.0;1965.0;29.0;"Non-responder"
51.0;2.0;2.0;51.0;44.0;10.0;1965.0;29.0;"Non-responder"
59.0;4.0;4.0;59.0;3.0;1.0;1965.0;29.0;"Non-responder"
90.0;4.0;4.0;90.0;44.0;10.0;1965.0;29.0;"Non-responder"
83.0;5.0;5.0;83.0;31.0;7.0;1965.0;29.0;"Non-responder"
57.0;1.0;1.0;57.0;39.0;9.0;1965.0;29.0;"Non-responder"
52.0;1.0;1.0;52.0;3.0;1.0;1965.0;29.0;"Non-responder"
83.0;4.0;4.0;83.0;18.0;5.0;1965.0;29.0;"Non-responder"
70.0;1.0;1.0;70.0;7.0;2.0;1965.0;29.0;"Non-responder"
