biacromial,pelvicBreadth,bitrochanteric,chestDepth,chestDiam,elbowDiam,wristDiam,kneeDiam,ankleDiam,age,weight,height
46.2,31,36,25,33.1,14.6,12,20.9,15.1,37,102.3,192
40.4,28.6,31.4,19.8,27.6,13.9,10.1,20,13.4,38,68.4,176.5
40.8,27.1,29.4,17.8,29.4,13.3,10.4,18.5,12.8,20,65.9,169.4
43.9,27,33.5,22.3,31,13.2,10.4,19.1,13.1,21,75.7,182.1
44.2,27.9,32,21.6,32.9,14.3,11,21.1,14.9,24,84.5,179.8
41.6,28,35,24.2,31,13.4,11.2,20.6,14.4,45,87.7,175.3
38.1,30.1,33.2,21.6,31.3,14.2,12.3,19.2,15.2,25,86.4,184.9
42,28,33,18.1,28.4,14.3,11.1,20.2,15.2,22,73.2,177.3
37,27.3,31.1,18.2,25,13.2,10.5,18.7,13.4,29,53.9,167.4
41.6,27.5,32,18.1,29.5,13.8,10.7,19,13.9,37,72,178.1
40.1,19.4,28,17.1,26.8,13,10.6,16.9,12.6,20,55.5,168.9
38.7,25.2,28.8,19.1,25.6,13,10.2,17.9,13.5,20,58.4,157.2
37.4,29.9,33.5,22.3,30.8,14.4,11.5,20.5,16.8,32,83.2,180.3
41.7,28,32.9,19.4,29.7,14.6,11,19.5,15.3,23,72.7,170.2
38,27.1,28.3,18.2,25.9,13.8,11,18.9,14.8,25,64.1,177.8
40.5,24.9,29.7,19,30.2,14.4,11.8,19.5,14.9,27,72.3,172.7
35.6,28.5,29.4,17.7,25.2,14,10.8,19.1,15,21,65,165.1
43.6,30.2,32.4,21.8,33.1,15.2,11.3,19.8,15.2,27,86.4,186.7
37.6,24.4,28.3,17.7,24.7,12.9,10.8,18,14.3,25,65,165.1
41.1,31.7,34.2,22.8,34,13.8,11.8,19.4,15.4,38,88.6,174
42.1,30.6,34,22.1,30.6,15,11.4,20.2,15.4,44,84.1,175.3
40.5,28.3,32.4,19.4,27.8,13.4,11,19,14.5,27,66.8,185.4
40.9,28.5,31.3,21.1,29.7,14.3,11.7,19,15.6,37,75.5,177.8
43,30.6,33.8,23.3,35.3,15.6,12,21.6,16.4,28,93.2,180.3
40.5,27.8,31.1,21.8,30.6,15,11.6,20.4,15.2,33,82.7,180.3
41.9,25.4,30.2,14.4,26.8,12.6,9.8,18.8,13.6,25,58,177.8
42.1,28.5,33.1,20.2,30.6,15.6,12.2,19.7,15.6,21,79.5,177.8
43.8,29.2,32.6,18.7,30.4,14.6,11.7,20,15.2,30,78.6,177.8
42.1,28.5,31.7,19.4,28,14,11.3,19,14.4,26,71.8,177.8
43.4,32,36.2,23.5,35.6,16.1,12.6,23,16.3,27,116.4,177.8
38.7,26.8,31.5,21.4,27.8,13.8,10.8,18.2,13.3,33,72.2,163.8
39.6,28.7,32.4,18.2,28.3,15.2,11.8,19.6,14.8,29,83.6,188
43.4,30.6,32.9,21.6,28.3,15,12,20.5,17.2,27,85.5,198.1
40.5,29.7,31.7,22.1,32.6,15.2,11.3,21.2,15.2,34,90.9,175.3
40.3,30.4,34.2,21.1,34,13.6,12,19.2,13.8,42,85.9,166.4
44.2,30.6,33.8,22.1,32.4,15.3,11.5,20.9,16.5,29,89.1,190.5
41.3,26.8,32.2,21.4,31.1,13.6,11,19.1,15,41,75,166.4
39.8,25.6,31.3,23.5,32,14,11.2,21.2,16.4,43,77.7,177.8
41.3,29,32.2,25.2,30.8,14.4,11,19.7,15.8,43,86.4,179.7
38.9,27.5,32.9,22.5,33.3,14.6,11,20.5,15.3,29,90.9,172.7
41.1,25.6,29.9,23.3,25.2,14.1,10.7,19,15.1,27,73.6,190.5
41.5,30.6,35.8,21.1,28,15,11.8,21,15.6,62,76.4,185.4
38.5,27.8,31.7,19.7,26.4,13.1,11,18.4,14.8,33,69.1,168.9
39.4,29.7,33.1,23,30.4,14.2,11.6,20.4,15,45,84.5,167.6
40.9,26.1,27.5,20.2,28,13.2,10.4,18.6,14.8,30,64.5,175.3
41.1,23,29.4,21.8,30.6,15,10.8,19.3,14.5,20,69.1,170.2
43.6,28,32.4,27.5,33.5,14.6,11.7,21.4,15.1,22,108.6,190.5
39.8,29,34.9,22.5,28.3,14.3,11.7,19.8,15.4,51,86.4,177.8
42.1,27.8,31.7,20.2,28.7,14.3,11.5,19.6,15.6,34,80.9,190.5
41.1,27.1,33.8,24.9,29.4,14.4,12.4,18,15.1,44,87.7,177.8
44.2,30.4,36.5,21.6,31.5,15.4,11.6,20.4,15.4,46,94.5,184.2
38.9,26.8,31.5,20.4,29,13.6,10.8,18.9,15.2,34,80.2,176.5
40.1,28.7,32.2,18,29.4,15.2,11.8,20.7,15.4,32,72,177.8
38.7,26.8,31.5,18,27.8,12.9,10.4,18,14.3,28,71.4,180.3
35.6,26.4,30.8,19.2,29.4,14.6,11.5,19.6,15.3,31,72.7,171.4
40.5,26.8,30.6,21.4,32.4,15,11.8,20.4,15.8,29,84.1,172.7
41.1,25.4,32,21.6,28.7,14.3,12.4,19.6,14.3,42,76.8,172.7
38.7,26.1,29.2,18.2,24.9,13.6,10.4,17.6,14.2,29,63.6,177.8
38.9,27.1,30.4,20.4,28.7,14.8,11.7,19.4,14.6,31,80.9,177.8
39.4,29.7,33.1,22.3,31.5,15.6,12,19.5,14.8,30,80.9,182.9
37.6,27.8,32.2,20.2,31.3,14.6,11,21.5,15.8,27,85.5,170.2
39.8,25.9,31.3,19.4,29.2,14.3,11.2,18.7,14.3,25,68.6,167.6
40.3,27.3,30.4,20.4,29,15,11.3,19.1,14.6,24,67.7,175.3
40.3,25.2,29.2,18.7,28.5,13.2,10.2,18.9,14.3,33,66.4,165.1
43.8,30.4,34.9,24,33.3,15.4,11.6,17.8,14.6,45,102.3,185.4
41.1,27.8,32.9,18,26.8,14.6,11.2,19.5,15.8,37,70.5,181.6
41.7,30.6,34.7,24.9,32,14.9,10.8,18.9,14.1,44,95.9,172.7
45.4,30.8,35.6,20.9,29.7,15.2,10.8,18.6,15,34,84.1,190.5
43,30.8,34.7,22.1,32.2,16,13.2,19.5,16.1,55,87.3,179.1
41.1,25.4,30.4,19.2,29.9,14.8,10.6,18.7,15.2,43,71.8,175.3
41.1,29.2,31.5,19.7,29.9,14.8,11,18,15,24,65.9,170.2
45.2,32.2,36,22.5,33.5,15.8,11.3,20.5,14.8,22,95.9,193
39.8,34.7,34.7,23.5,30.2,14.8,10.6,20.6,14.3,38,91.4,171.4
39.6,28.7,32,20.2,32.9,14.3,11.5,19.6,15.1,24,81.8,177.8
42.3,30.2,34.4,25.4,32.2,15.2,10.7,18.8,14.8,29,96.8,177.8
40.9,29,32.2,20.2,29.2,13.8,10.4,18.4,14.4,25,69.1,167.6
39.8,28,34.2,23.3,31.5,14,11,19.7,13.8,37,82.7,167.6
42.3,27.1,31.7,17.3,29.4,14.4,11.6,21.2,15.8,30,75.5,180.3
42.3,26.8,32,25.4,28.7,15,11.2,18.4,14.4,26,79.5,182.9
40.5,28.7,30.4,22.1,29.2,14.3,11.2,18.5,14.5,35,73.6,176.5
42.7,28.5,36.7,23.7,30.8,15.8,12.9,19.3,16,29,91.8,186.7
43.6,30.8,33.3,20.4,29.7,14.3,10.9,19.6,15.4,30,84.1,188
42.5,31.3,33.1,19.4,32,14.8,11.3,20.1,15.5,37,85.9,188
41.3,30.8,33.3,22.5,28.3,13,10.5,19.7,13.4,34,81.8,177.8
41.3,24.7,35.4,22.5,30.2,14.8,11.3,20.4,16,28,82.5,174
42.3,26.6,33.3,23.3,28.7,14.2,11.1,19.5,14.3,27,80.5,177.8
36.9,25.9,31.7,19.9,27.3,14.8,10.6,19.4,14.3,32,70,171.4
40.3,28.5,35.1,19.2,32,14.8,12,21.2,16.2,28,81.8,185.4
40.1,26.4,32,21.4,32.6,14.8,12,20,15.2,22,84.1,185.4
43.2,31.3,34,23,32.6,15.7,11.5,20.5,15.2,44,90.5,188
45,29,33.3,25.4,30.8,15.4,11,18.8,15,25,91.4,188
42.1,29.7,35.6,23.5,31.3,14.3,11,18.2,14.8,49,89.1,182.9
40.9,28.7,33.5,23.7,30.2,15.8,11.6,19.3,16.8,54,85,176.5
41.3,27.3,32.2,20.2,28.3,13.8,11.4,18,13,49,69.1,175.3
42.1,29.7,32.9,24.9,30.8,15.3,11.5,19.2,14.6,60,73.6,175.3
45.2,29.7,33.8,19.9,32,15.5,11.8,19.6,16.1,42,80.5,188
42.1,31.1,34.9,22.1,31.3,15.2,11,19,14.4,52,82.7,188
41.2,29.8,32.2,22.4,29.8,15.6,11.2,19.6,14.8,23,86.4,175.3
41.7,29.2,33.8,19.2,29.7,13.8,10.7,18.6,14.2,33,67.7,170.5
43,29.4,33.8,24.7,31.5,14.2,11.2,19.4,14.2,46,92.7,179.1
41.7,28.5,33.8,23.5,32.9,15.6,12,18.4,16.3,43,93.6,177.8
38,29.7,34,22.8,27.3,13.1,10.8,17.3,15.5,56,70.9,175.3
41.9,27.8,33.3,19,28.7,15.1,11.3,19.2,14.9,21,75,182.9
40.7,28,35.3,19.4,31.7,14.4,10.7,18.6,14.4,18,93.2,170.8
41.3,29.7,34.7,22.8,32,15.5,11.2,18.4,15.6,21,93.2,188
40.9,28.7,32.9,21.6,30.6,15,11,18.7,13.8,45,77.7,180.3
41.7,26.8,32,19.7,27.8,14,10.5,18.4,14.6,22,61.4,177.8
41.3,31.1,34.9,26.4,30.2,15,11.6,18.8,15.8,55,94.1,185.4
41.1,27.8,32,21.1,30.6,14.8,11.4,17.6,14.2,42,75,168.9
43.4,27.3,34.7,19.9,31.3,14,11.2,20.2,14.3,29,83.6,185.4
40.7,27.8,34,21.1,29.4,15.6,12,21.2,16.4,40,85.5,180.3
42.5,25.2,30.6,20.9,30.4,15.3,11.4,18.9,13.8,24,73.9,174
40.3,28.3,30.6,18.2,29.2,12.9,10.6,20.2,14.2,62,66.8,167.6
39.8,27.8,32.9,22.3,29.7,16.6,11.8,20.8,15.3,26,87.3,182.9
39.8,28.3,30.4,19.7,30.2,12.9,11,18.6,12.7,35,72.3,160
40.5,29.9,34.9,21.4,32.9,14.5,11.7,20.4,15,37,88.6,180.3
41.1,26.8,32.4,20.2,31.1,14.4,11.8,20.4,15.2,34,75.5,167.6
42.5,29.4,34.2,23.5,34.7,15.1,11.8,21.8,15.8,25,101.4,186.7
42.5,29.4,34.4,19.9,34,14.5,11,21.3,14.4,30,91.1,175.3
38.5,24.4,30.4,18,29.9,14.3,10.1,18.3,13.2,32,67.3,175.3
43.8,29.2,35.6,19.9,28.3,14.8,12.8,20.7,14.3,27,77.7,175.9
41.5,29,33.3,21.4,32.4,15.3,11,20.6,15,42,81.8,175.3
40.3,27.8,33.5,20.6,29.9,15.3,11.2,20.4,13.8,44,75.5,179.1
40.3,30.2,32.2,20.6,29.2,14.5,11.5,20,16.9,46,84.5,181.6
42.1,27.1,32.2,20.2,30.6,13.7,10.8,18.9,14.3,19,76.6,177.8
42.1,31.3,35.1,20.6,31.1,16.7,12,21,15.1,43,85,182.9
38.9,29.4,33.3,24.2,33.5,14.2,12.8,20.6,15.5,28,102.5,177.8
44.4,24,30.2,20.6,32,14.2,11.2,20.2,14.5,39,77.3,184.2
40.9,24.4,28.7,18.7,29,14.3,11.4,17.8,14.6,30,71.8,179.1
42.1,28.7,33.5,25.2,29.4,14.3,11.5,18,13.8,36,87.9,176.5
43,27.1,33.5,25.2,31.5,15.2,11.8,19.3,15.1,48,94.3,188
38,27.1,32.2,20.6,28,13.9,10.3,19.1,14,48,70.9,174
37.1,24.2,30.6,17.7,27.8,13.8,11,17.8,14.6,53,64.5,167.6
41.1,24,29.4,21.6,30.8,13.6,11.7,18.8,14.6,45,77.3,170.2
40.9,24.4,30.6,19.7,29.9,13.8,11.5,19,15.1,39,72.3,167.6
38.9,27.1,31.7,21.6,29.7,15,12.2,20.5,15.2,43,87.3,188
40.9,28.3,34,23.7,28.5,14.3,12,19,14.3,65,80,174
39.2,26.8,34,23.7,30.8,14.2,11.2,19.1,14.5,45,82.3,176.5
41.7,26.6,31.5,19.9,29.9,14.6,11.2,19.2,14.8,37,73.6,180.3
39.4,26.6,31.7,24,31.1,13.8,11.8,20,15.8,55,74.1,167.6
40.1,26.4,32,21.8,30.2,15.8,12.4,20.7,15.8,33,85.9,188
38.9,25.6,32.9,21.1,29,15.6,10.6,20.2,14.8,25,73.2,180.3
38.9,26.4,31.7,21.6,27.8,14.4,11.3,19.6,14.8,35,76.3,167.6
41.7,26.4,31.1,20.2,28.3,14.6,10.2,18.4,15.3,28,65.9,183
43.2,26.8,32.6,22.1,32.9,15.4,12,20.5,16.8,26,90.9,183
40.5,29.2,33.5,23.7,31.1,15.2,11.3,20,16.1,43,89.1,179.1
39.2,23.5,29.9,19.7,29,15.4,11.5,19,14.8,30,62.3,170.2
40.9,25.4,32,20.6,30.2,16.1,11.5,19.3,15.8,26,82.7,177.8
41.7,27.3,31.5,21.8,29.7,14.9,11.8,18.9,13.6,51,79.1,179.1
43.8,32.2,38,25.4,32,16,10.7,21,16.8,30,98.2,190.5
41.9,28,33.1,26.4,29.9,15.6,11.5,21.2,15.9,24,84.1,177.8
43,27.8,34.2,21.4,31.5,14.3,11.1,21,14.8,35,83.2,180.3
41.5,28.5,33.5,19.7,29.4,14.5,10.5,19.4,15.3,37,83.2,180.3
37.6,25,31.3,16.2,24.9,11.2,9.2,17,12.3,22,51.6,161.2
36.7,26.4,31,16.8,24.5,12.1,9.9,19.3,12.8,20,59,167.5
34.8,25.9,30.2,16.4,24.2,11.3,8.9,17,12.2,19,49.2,159.5
36.6,27.9,31.8,19.3,24.9,12.3,9.5,18.6,13,25,63,157
35.5,28.2,31,18.2,26.2,11.5,9.1,17.2,12.4,21,53.6,155.8
37,28,32,15.1,25.7,12.5,10,17.2,13.2,23,59,170
35.5,26.5,29.2,15.4,24.5,12.3,9.4,17.2,12,26,47.6,159.1
37.4,30.2,33.2,18.8,26.6,13.3,10.7,19.8,13.8,22,69.8,166
37.8,29,32.6,18.6,25,12.1,9.8,17.8,12.7,28,66.8,176.2
38.6,28.8,33.2,19.7,29.4,13.4,11.5,20.9,13.2,40,75.2,160.2
37.6,28.5,32.2,15.5,24.3,11.8,8.6,17.1,11.9,32,55.2,172.5
36,25.6,31.5,15.4,25.5,12.8,9.7,17.6,13.2,25,54.2,170.9
39.5,30,31.7,17.3,27.3,12.8,9.2,18.1,12.4,25,62.5,172.9
34,25,27,16.9,22.6,10.6,8.3,15.9,11.6,29,42,153.4
35,26.5,31.6,18.3,23.7,11.5,8.6,16.8,12.2,22,50,160
35.6,25.8,32,16.2,25.7,11.5,9,17.2,11.8,25,49.8,147.2
36.2,27.4,29.5,14.6,23.9,11.2,9.6,16.7,12.6,23,49.2,168.2
39,28.4,34.9,19.6,26.7,13.4,11,18.9,13.6,37,73.2,175
32.6,25.6,30,15.3,22.6,10.3,8.1,16.2,11.6,19,47.8,157
37.6,30,33.9,19.1,28.8,13.4,10.5,19.2,13.2,23,68.8,167.6
36.3,27.5,31,15.4,24,11.1,9.4,16.4,12.3,25,50.6,159.5
38,29.6,32.7,21.3,28.7,13.7,10.6,21.5,14.4,26,82.5,175
37,27.9,30.8,15.1,26.8,13.2,8.9,18.1,12.3,24,57.2,166.8
42.6,31.8,34.8,19.9,30.4,12.5,11,21,14.2,29,87.8,176.5
37.5,29.2,35.1,19.6,27.5,13.1,10.2,20,13.1,22,72.8,170.2
36.1,28.2,32.3,15.8,25,12,10.2,18.4,12.9,30,54.5,174
39.1,27.5,34,17.2,25.6,12.6,10,18,12.7,23,59.8,173
39.6,28.6,31.2,18,27.2,12.4,10.1,19.3,13.8,38,67.3,179.9
40.5,29.6,34.9,17.4,27.5,12.6,10.4,18.8,13.1,23,67.8,170.5
35,26,29.8,16.1,22.3,12.4,9.5,17.2,12.3,19,47,160
34.5,26.4,30.1,18.6,23.5,11.3,8.9,17.2,12.3,46,46.2,154.4
35.6,27.9,32,15.6,23.9,11.9,9.6,18.2,12.7,20,55,162
39.1,29.7,33.7,20.1,29.5,13.2,10,20.3,13.6,22,83,176.5
36.6,28.2,32,14.3,26,11.8,9.9,18,12.7,25,54.4,160
34.8,26.3,29.9,16,22.9,11.3,9.2,16.5,11.8,21,45.8,152
36.7,22.1,28.3,16.7,27.5,12.3,10.1,16.8,12.4,23,53.6,162.1
39.7,31.6,34.5,19,24.9,12.7,10.4,18.2,13.1,31,73.2,170
35.5,24.3,29.5,15,26,11.5,9.4,17.2,12.1,29,52.1,160.2
36,28,30.8,17.3,25.9,12.9,9.8,17.8,13.8,19,67.9,161.3
35.8,26.4,32.2,17.3,24.9,12.7,10.4,18.9,14,21,56.6,166.4
37.6,27.3,32,18,25.6,12.4,9.4,18.8,13.6,23,62.3,168.9
37.6,28.7,30.8,19,25.2,13.1,11.5,18.6,13.6,24,58.5,163.8
34.9,28,30.8,15.6,24.2,11.2,9.2,17.9,13.2,20,54.5,167.6
33.3,24.9,27.8,17.3,23.3,12.8,9.8,17.4,12.9,19,50.2,160
36.2,27.1,29.9,16,24.2,11.8,9.2,17.3,12.6,20,60.3,161.3
33.3,29.2,32,14.8,25.9,12.6,10.4,18.4,13,19,58.3,167.6
36,25.2,30.8,16.5,24.2,12.6,9.2,17.6,13.2,20,56.2,165.1
34,27.3,29.9,17,24,12,9.2,16.8,12.4,19,50.2,160
36.2,28.7,31.3,19.2,27.1,12.8,10.5,18,14.4,22,72.9,170
34.9,27.1,31.5,19,24.9,12.4,9.8,18,13.8,39,59.8,157.5
37.4,28.3,31.3,16.3,25.6,12.9,11,18.4,14.3,18,61,167.6
33.8,28.7,32.2,18.7,25.4,12,8.9,17.4,13,19,69.1,160.7
34,27.3,32.2,19,24.2,12.9,10.6,17.9,13.4,26,55.9,163.2
34.4,23.5,26.8,16.5,24.4,11.7,9.2,16.8,12.4,20,46.5,152.4
34.7,27.8,32.6,16.5,24.2,12.6,9.8,17.6,12.6,20,54.3,157.5
35.6,26.4,32.2,15.1,26.6,13,10,17.6,13.8,26,54.8,168.3
33.8,29.7,32.4,17.3,25.4,13.4,9.6,18.4,13.4,21,60.7,180.3
37.8,26.6,33.1,16.5,27.1,12.4,9.8,18.3,13,21,60,165.5
38.3,30.4,32.2,18.7,26.4,12.4,9.4,18.1,12.7,38,62,165
40.3,29.2,32.9,16.5,26.4,13,9.4,18.6,12.9,23,60.3,164.5
38.9,27.5,31.1,15.6,26.8,12.4,10,18.4,13.6,37,52.7,156
39.4,29.2,34.7,18,28.3,13.4,10.5,19.8,13.1,19,74.3,160
35,27,33,19.3,25,11.5,9.9,17.1,13,25,62,163
40.7,29,35.3,17.7,28.5,13.8,10.8,19.8,14.3,20,73.1,165.7
39.6,30.4,34.2,21.4,26.8,14.2,10.6,20.7,13.1,41,80,161
36.9,28.3,32,17,25.6,10.9,9.4,17.3,12.6,26,54.7,162
35.6,25.7,29.1,15.5,26,11.5,9.5,17.8,12.1,21,53.2,166
38.2,30,35.5,19.4,26.7,12.6,10.8,19.5,13.6,47,75.7,174
36.9,29,33.7,15.6,27,11.5,10.2,18.4,13.8,19,61.1,172.7
36.9,26.9,31.9,16.1,25.2,13.4,10,18.8,14.3,44,55.7,167.6
34.8,26.4,29.8,14.9,25.2,12.2,9.1,18,12.4,35,48.7,151.1
36.6,27.5,30,17.7,24.1,12,9.3,17.7,13.2,32,52.3,164.5
36.9,27.4,31,18.2,25.7,12.8,10.4,17.8,14.1,46,50,163.5
36.9,26.4,32.4,16.6,26,12.6,10.5,18.9,14.4,22,59.3,152
36.9,30.2,34.6,17.5,26.2,13.2,10.4,19.4,14.3,49,62.5,169
36,28.6,32,17.5,24.1,12.8,9.8,18.7,13.8,52,55.7,164
