topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
2,1,0.2326933254276713,"staff, tafe, privacy, assessment, responsible, academic, guideline, integrity, security, personal, procedure, college",australia,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools,2. DEVELOPMENT OF POLICIES & GUIDELINES,guideline exist guideline entity territory authority international international european experiment actively innovative individual exploration context framework formal staff encourage look similarly apps gain potential limitation necessarily local team educator regional response party aspect university partnership action research purpose evident later guideline framework regulation company relation privacy security,"2. DEVELOPMENT OF POLICIES & GUIDELINES

of generative AI tools in our school, either as a stand-alone policy or referenced within existing policies | 43% | In developing guidelines and policies, schools have referenced or are referencing documents from a range of organisations or entities, including their state and territory government education departments or education authorities. International resources may also be referenced, including documents from the International Baccalaureate Organisation, OECD AI Policy Observatory, the European Commission and England's Department for Education. Some respondents commented on how their schools are experimenting with AI technology. One respondent reported their school is 'actively encouraging innovative use cases and individual exploration of AI in all contexts, without policy frameworks'. Another reported that while their school does not have a formal policy on the use of generative AI tools, staff and students are encouraged to look for opp"
2,2,0.21232944580652496,"staff, tafe, privacy, assessment, responsible, academic, guideline, integrity, security, personal, procedure, college",australia,policy_asc_artificial_intelligence_policy_2025,Academic Integrity/Integrity in General,academic integrity integrity represent large risk academic integrity setting ubiquitous staff advise manage academic integrity number set expectation follow recommendation college guidance topic design assessment respond misuse soon staff guidance documentation detail disclose responsible instruction,"Academic Integrity/Integrity in General

AI tools represent a large risk to academic integrity in a school setting. As AI tools become more ubiquitous staff are advised to manage and maintain academic integrity in a number of ways. - Setting expectations around AI use in the classroom by following recommendations and College guidance on the topic
- Designing assessments with consideration of AI tools
- Identifying and responding to misuse of AI tools by students as soon as possible through identified processes (staff to see AI guidance documentation for more detail)
- Disclose AI use to students where appropriate as part of modelling responsible use (examples may include, generated text samples or step-by-step instructions generated by AI)"
2,3,0.2080567624715004,"staff, tafe, privacy, assessment, responsible, academic, guideline, integrity, security, personal, procedure, college",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Categorising the principles for action,categorise principle action staff staff equip appropriately experience university adapt teach assessment incorporate ethical equal university academic integrity university collaboratively share best remain organise emerge group edsafe alliance categorise research agreement,"Categorising the principles for action

will support students and staff to become AI-literate. - [ ] • Staff should be equipped to support students to use generative AI tools effectively and appropriately in their learning experience. - Universities will adapt teaching and assessment to incorporate the ethical use of generative AI and support equal access. - [ ] • Universities will ensure academic rigour and integrity is upheld. - Universities will work collaboratively to share best practice as the technology and its application in education evolves. However, all of this work remains unconnected and without an organising model. There are some emerging approaches with groups like the EdSAFE AI Alliance who are developing a process for issues to be categorised into what can be actioned now, what needs further development, research or new agreements, and what needs to be reconsidered or redesigned. 136 https://russellgroup.ac.uk/news/new-principles-on-use-of-ai-in-education/

137 https://"
2,4,0.20678753342735137,"staff, tafe, privacy, assessment, responsible, academic, guideline, integrity, security, personal, procedure, college",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Best practice in education frameworks,best framework frameworks group university literacy scope staff university instance university adapt teach assessment response academic integrity set academic course responsibility mechanisms refer scope staff current achievable responsibility aspirational moral ethical judgment performance principle staff concern,"Best practice in education frameworks

Education specific frameworks like that of the Russel Group Universities in the UK 114 cover topics of AI literacy, use and impact, however, they scope these within the bounds of what staff within the University can impact. For instance 'Universities will adapt teaching and assessment' in response to supporting academic integrity are set within the bounds of the academic rigour for each course. The responsibilities and mechanisms referred to are within the scope of the staff's current achievable responsibilities. Further aspirational, moral or ethical judgments, or AI systems performance are not included as principles for their staff to be concerned with."
2,5,0.19522279931943992,"staff, tafe, privacy, assessment, responsible, academic, guideline, integrity, security, personal, procedure, college",australia,policy_generative_ai_usage_policy,You must not:,incident privacy breach protocol staff aware personal identifiable sensitive share immediately incident privacy officer tas edu ongoing review team monitor compliance privacy act privacy principle apps academic integrity protocol assessment guideline safeguard childhood foundation safeguard standard framework ict user agreement principles child safe principle tasc academic integrity record guideline year review significant legislative organisational demand master copy form copy guideline owner principal version control version number purpose date head teach initial release staff usage expectat,"You must not: Incident reporting and privacy breach protocol

Where staff become aware that personal or identifiable sensitive data has accidentally been shared with a Generative AI tool, they must immediately report the incident to the School's privacy officer at privacyofficer@hutchins.tas.edu.au.

Ongoing review

The School's IT team will monitor the use of Generative AI to support compliance with The Privacy Act, the Australian Privacy Principles (APPs) and School policies.

5. Supporting/related documents

Academic Integrity Protocols

Assessment and Reporting Guidelines

Safeguarding Australian Childhood Foundation Safeguarding Chidlren Program: Standard 1.4

Australian Framework for Generative Artificial Intelligence in Schools

ICT User Agreements

National Principles for Child Safe Organisations: Principles 8 and 10

TASC Academic Integrity Policy

6. Record keeping

This guideline is to be kept for three (3) years until review except where significant legislative or organisat"
3,1,0.2789488403689333,"principle, transparency, fairness, wellbeing, child, accountability, guidance, ethical, teach, privacy, unesco, design",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,Appendix,research evidence discipline innovation continuous jin teach gai chatgpt increase effectiveness teach methodology experience improve outcomes foster continuous integrate theme importance curriculum university test evaluate effectiveness assessment method evaluation collaborative university focus foster collaboration dialogue educator address assessment design authentic theme design assessment evaluate think skill solve solely academic critical evaluation output university encourage critical content creation facilitate interactive adapt teach assessment strategy leverage present ongoing univers,"Appendix

'Research and co-creation of evidence through disciplined innovation' (p. 10) 'Continuous evaluation- | | | Jin et al. (2024) | 'Enhancing teaching and learning-Universities see GAI [Generative AI] and ChatGPT as tools to increase the effectiveness of teaching methodologies, enhance learning experiences, improve educational outcomes, and foster continuous learning.' (p. 5) 'Integrating AI into Educational Practice-This theme emphasizes the importance of making AI a part of the educational curriculum, encouraging its use for | Universities are planning to test and evaluate the effectiveness of AI tools through new assessment methods and periodic evaluations involving various stakeholders.' (p. 6) 'Collaborative discussions- Universities are focusing on fostering collaboration and dialogue among educators, students, and other stakeholders to address the | 'Assessment Design and Authentic Assessments- This theme emphasizes designing assessments that evaluate higher-order thinkin"
3,2,0.2621860537800589,"principle, transparency, fairness, wellbeing, child, accountability, guidance, ethical, teach, privacy, unesco, design",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,1. Promote teaching and learning,teach teach guideline review clear instead hype essential teach essential component outweigh cost evaluation evaluation enhances experience think encourage evaluate educator design complete encourage think creativity critical analysis clear guidance assessment highlight creation guidance design evaluate instance consultation creation guideline review personalise pathway tailor unique concern major discuss potential reduction relation ieaied vital engagement decide offer personalise pathway educator carefully evaluate cost social interaction additionally mitigate cost regularly assess overall f,"1. Promote teaching and learning

Due to the affordances provided by AI systems, their use in teaching and learning should be considered. However, as the guidelines reviewed make clear, AI should not be used haphazardly. Instead of using AI due to hype, it is essential to ensure its use promotes teaching and learning, which has three essential components:

1. Benefit . The use of AI should be considered when the benefits outweigh the costs. 2. Evaluation . The evaluation of AI should be considered to ensure it effectively enhances the educational experience. 3. Thinking. To effectively encourage and evaluate learning, educators should consider designing work that AI cannot complete, encouraging higher-order thinking, creativity, and critical analysis of AI, and providing clear guidance regarding how students can use AI in their work, such as during assessments. As highlighted in the creation of many of the documents and in some of their guidance, co-creation should be considered when d"
3,3,0.23522595933429347,"principle, transparency, fairness, wellbeing, child, accountability, guidance, ethical, teach, privacy, unesco, design",australia,policy_australian_framework_for_generative_ai_in_schools,Guiding Statements,guide statement review framework review minister month publication month accommodate pace minister determine review framework frequently discretion teaching teach guide statement teach administration instruction potential limitation bias usage increase expertise expertise recognise subject matter expert critical thinking critical thinking creativity restrict think experience design design assessment clearly outline allows clear unbiased evaluation ability academic integrity ethically schoolwork attribution,"Guiding Statements Review

The Framework will be reviewed by Education Ministers within 12 months of publication and every 12 months thereafter to accommodate the fast-moving pace of technological development in generative AI. Education Ministers may determine to review the Framework more frequently at their discretion.

1. Teaching and Learning

Generative AI tools are used to support and enhance teaching and learning.

Guiding Statements

- 1.1 Impact: generative AI tools are used in ways that enhance and support teaching, school administration, and student learning. - 1.2 Instruction: schools engage students in learning about generative AI tools and how they work, including their potential limitations and biases, and deepen this learning as student usage increases. - 1.3 Teacher expertise: generative AI tools are used in ways that support teacher expertise, and teachers are recognised and respected as the subject matter experts within the classroom. - 1.4 Critical thinking: generati"
3,4,0.21971236100702413,"principle, transparency, fairness, wellbeing, child, accountability, guidance, ethical, teach, privacy, unesco, design",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,Opportunities and challenges of AI systems for teaching and learning,teach potential transform teach innovative yan instance automate task grade attendance track efficiency free focus complex creative aspect wang personalise providing assessment feedback improve effectiveness address unique individual wang exist enables experience adaptive instance potential adjust learner knowledge motivation emotion dynamic responsive environment wang open previously immersive learner experience previously wang integration teach concern carefully address teach wellbeing social interaction literacy user transparency responsibility accountability privacy justice fairness child ,"Opportunities and challenges of AI systems for teaching and learning

AI systems have the potential to revolutionise education, transforming teaching and learning through innovative applications (Yan et al., 2024). For instance, by automating routine tasks like grading and attendance tracking, AI can enhance efficiency, freeing teachers to focus on more complex and creative aspects of education (Wang et al., 2024). It also may support personalised learning by providing tailored assessments and feedback, thereby improving learning effectiveness by addressing the unique needs of individual students (Wang et al., 2024). Beyond enhancing existing practices, AI enables the reimagining of learning experiences. Adaptive learning systems, for instance, have the potential to adjust to a learner's knowledge, motivation and emotions, creating a dynamic and responsive educational environment (Wang et al., 2024). Furthermore, AI opens doors to previously unfeasible opportunities, such as immersive "
3,5,0.21721363469938626,"principle, transparency, fairness, wellbeing, child, accountability, guidance, ethical, teach, privacy, unesco, design",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,The Ethical Framework for AI in Education,ethical framework achieve achieve strong societal scientific evidence learner assess recognise broader learner increase capacity institution whilst relationship equity group learner discriminate group learner increase control learner balance privacy legitimate achieve ultimately responsible outcome oversight operate learner educators reasonable implication design people,"The Ethical Framework for AI in Education

https://www.buckingham.ac.uk/wp-content/uploads/2021/03/The-Institute-for-Ethical-AI-inEducation-The-Ethical-Framework-for-AI-in-Education.pdf

| Achieving Educational Goals. AI should be used to achieve well-defined educational goals based on strong societal, educational or scientific evidence that this is for the benefit of learner |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| AI should be used to assess and recognise a broader range of learners' talents |
| AI should increase the capacity of educational institutions whilst respecting human Relationships |
| AI systems should be used in ways that promote equity between different groups of learners and not in ways that discriminate against any group of learners |
| AI should be used to increase the level of control that learners have over th"
4,1,0.3521681660377908,"submission, recommendation, inquiry, tension, evidence, analysis, body, public, university, group, value, theme",australia,policy_generative_ai_in_the_australian_education_system_an_open_data_set_of_stakeholder_recommendations_and_emerging_analysis_from_a_public_inquiry,Fostering responsible AI in Australia: Infrastructure and models,foster responsible infrastructure number recommendation point desire parliamentary progress foster responsible mention responsible transparent integration oversight ethical common theme importance accountability responsibility recommendation emphasise importance regulation standard fairness academic integrity prevention unintended consequence emphasis address potential bias combination regulation organisational monitoring governance assurance quality diversity set submission academy humanity point possibility large language local set research group suggest investment infrastructure tension ten,"Fostering responsible AI in Australia: Infrastructure and models

A number of recommendations pointed to the desire for the Parliamentary Committee to progress policy that would foster responsible AI in education. These mentioned responsible and transparent integration of AI in education (#29, 88, 43) while maintaining human oversight and ensuring ethical use (#81, 27, 43). Another common theme was the importance of accountability and responsibility in using AI technologies (#83, 71, 27). These recommendations emphasised the importance of regulations and standards (#71, 27, 43, 29, 35) to ensure fairness, the preservation of academic integrity and the prevention of unintended consequences. There was also some emphasis on the need to address potential biases in AI systems through a combination of regulation and organisational roles in establishing and monitoring data governance practice to ensure assurances about the quality, quantity and diversity of data sets used in AI (#71, 35, 38, "
4,2,0.3120704723712699,"submission, recommendation, inquiry, tension, evidence, analysis, body, public, university, group, value, theme",australia,policy_generative_ai_in_the_australian_education_system_an_open_data_set_of_stakeholder_recommendations_and_emerging_analysis_from_a_public_inquiry,Details of the inquiry,detail inquiry inquiry convene house representative stand employment training present sector instruction link guidance submission note useful submission clear argument contain recommendation action source submission invite address subset term tor child educator improve outcomes tools teach assessment sector educator workforce generally risk present safe ethical ongoing academic research integrity child family experience disadvantage international response increase examples best independent evaluation outcome applicable context recommendation manage risk guide potential standard analysis paper ,"Details of the inquiry

The inquiry was convened by The House of Representatives Standing Committee on Employment, Education and Training, into 'the use of generative artificial intelligence in the Australian education system' on 24 May 2023 (Parliament of Australia, 2023b), to inquire into 'the issues and opportunities presented by generative Artificial Intelligence (AI)' and its impacts across the education sector (Parliament of Australia, 2023a). Instructions included a link to general guidance on making a submission (Parliament of Australia, 2021), which notes that 'useful submissions make a clear argument, contain recommendations for action, and provide sources for any references'. Submissions were invited to address all or a subset of the terms of reference (ToR) (Parliament of Australia, 2023a):

- (1) 'The strengths and benefits of generative AI tools for children, students, educators and systems and the ways in which they can be used to improve education outcomes;
- (2) The fu"
4,3,0.29395618827648795,"submission, recommendation, inquiry, tension, evidence, analysis, body, public, university, group, value, theme",australia,policy_generative_ai_in_the_australian_education_system_an_open_data_set_of_stakeholder_recommendations_and_emerging_analysis_from_a_public_inquiry,Guidelines,guideline submission guideline form generally specifically mention learner educator institution institutional leader industry tension guideline guideline framework local tension tension recommendation importance institutional autonomy note difference principle flag clearly submission receive intend comprehensive overview ownership guideline regulatory body universities mention clearly articulate meant highlight implication consistent strategy sector concern governance privacy integrity wellbeing protection people,"Guidelines

Many submissions made reference to guidelines in various forms, and for a range of stakeholders both generally (#19, 35, 37, 71, 10, 6, 1) as well as specifically mentioning learners (#3, 6, 39), educators (#16, 64, 7), institutions (#65, 22, 26, 14, 41, 44, 58, 82, 88, 90, 38), institutional leaders (#8), researchers (#44), industry (#41, 71) and policymaker (#32). Tensions and issues: The need for universalising guidelines and the role of guidelines as providing a framework for local operationalisation are in tension; this tension is also seen in other recommendations in which the importance of institutional autonomy is noted. There are also some differences in the specific principles flagged, although clearly the submissions received were not intending to provide any comprehensive overview in this respect. Ownership of guideline development is also contested, with regulatory bodies, universities and government departments all mentioned, as well as cross-sector initiative"
4,4,0.266435128484874,"submission, recommendation, inquiry, tension, evidence, analysis, body, public, university, group, value, theme",australia,policy_generative_ai_in_the_australian_education_system_an_open_data_set_of_stakeholder_recommendations_and_emerging_analysis_from_a_public_inquiry,Introduction,introduction launch chatgpt late growth capability attention significant analysis university medium coverage indicate day university indicate tension concern academic integrity fowler analysis coverage united united significant focus academic integrity concern assessment innovation coverage sullivan respond increase attention policymakers internationally directly address communication hard regulation response inquiry form attempt path forward space united release position statement office teach insight recommendation cardona set sharples achieve widespread rapidly incorporate unesco quick star,"Introduction

Since the launch of ChatGPT and DALL-E 2 in late 2022, the growth in capabilities of, and attention on, generative AI (GenAI) has been significant. Analysis of Australian university policies and media coverage regarding GenAI indicates that within the first 100 days, 36% (n = 14) of universities had developed policies regarding AI, indicating tension between concerns regarding academic integrity and opportunities for the use of GenAI (Fowler et al., 2023). This finding was paralleled in analysis of news coverage across Australia, New Zealand, the United States of America (USA) and United Kingdom, with a significant focus on academic integrity concerns and the need for assessment innovation, but less coverage on student perspectives or how GenAI might support students (Sullivan et al., 2023). Responding to this increased attention, policymakers and regulators internationally have sought to directly address the tools. Avenues such as communication of hard and soft regulatio"
4,5,0.25605220046951715,"submission, recommendation, inquiry, tension, evidence, analysis, body, public, university, group, value, theme",australia,policy_generative_ai_in_the_australian_education_system_an_open_data_set_of_stakeholder_recommendations_and_emerging_analysis_from_a_public_inquiry,Marginalised-group engagement,engagement recommendation marginalise group engagement disadvantage marginalised status research recommendation propose collaborative fostering sustainable collaboration educator deal disadvantage involvement diverse people people diverse marginalised background people disability people social economic disadvantage tension marginalise group refer large group people directly address subset submission educator policymakers belong distinct group pursue separate group group likely differ detailed representation group present submission,"Marginalised-group engagement

Recommendations regarding marginalised group engagement included calls to consider different educational needs based on disadvantaged and marginalised status (#49, 55, 65, 73) and research on these impacts (#88, 71). In some cases, these recommendations proposed collaborative models, fostering sustainable collaborations between educators who are dealing with disadvantaged students (#44). Others (#27, 58, 84) focused on the involvement of diverse stakeholders in decision-making, including Aboriginal and Torres Strait Islander people, people with culturally and linguistically diverse as well as racially marginalised backgrounds, people with disabilities and people with social and economic disadvantage. Tensions and issues: Marginalised groups refer to a large group of people that have been directly or indirectly addressed across a subset of submissions. Not only students, but educators and policymakers might belong to these distinct groups, and they might b"
