"Pre-campaign expenditure","Pre-campaign visits","Pre-campaign spend category","Pre-campaign visits category","Total number of visits","Total spend","Post Code","52 Mosaic Groups","Mosaic Bands","Title","Gender","Year Of Birth","Age","Age category","Response to campaign"
70.0,7.0,"£50-£100","5 Or More Visits",7.0,70.0,"SG 2 9DZ",16.0,4.0,"MISS","Female",1972.0,22.0,"18-25 years","Non-responder"
68.0,2.0,"£50-£100","2 Visits",2.0,68.0,"LE10 0UW",9.0,3.0,"MISS","Female",1972.0,22.0,"18-25 years","Non-responder"
61.0,1.0,"£50-£100","1 Visit",1.0,61.0,"TA14 6RH",12.0,3.0,"MRS","Female",1972.0,22.0,"18-25 years","Non-responder"
66.0,3.0,"£50-£100","3 Visits",3.0,66.0,"NE15 9BA",30.0,7.0,"MISS","Female",1972.0,22.0,"18-25 years","Non-responder"
52.0,1.0,"£50-£100","1 Visit",1.0,52.0,"TF 7 4NJ",41.0,10.0,"MISS","Female",1972.0,22.0,"18-25 years","Non-responder"
88.0,4.0,"£50-£100","4 Visits",4.0,88.0,"MK 2 3QF",17.0,4.0,"MISS","Female",1972.0,22.0,"18-25 years","Non-responder"
45.0,2.0,"Under £50","2 Visits",3.0,58.0,"LL57 1NH",16.0,4.0,"MR","Male",1972.0,22.0,"18-25 years","Responder"
83.0,12.0,"£50-£100","5 Or More Visits",14.0,105.0,"BA11 4JA",11.0,3.0,"MR","Male",1972.0,22.0,"18-25 years","Responder"
65.0,1.0,"£50-£100","1 Visit",1.0,65.0,"DE56 1HS",6.0,2.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
79.0,1.0,"£50-£100","1 Visit",1.0,79.0,"BA11 4HY",11.0,3.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
88.0,2.0,"£50-£100","2 Visits",2.0,88.0,"SG 1 1QT",16.0,4.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
54.0,6.0,"£50-£100","5 Or More Visits",6.0,54.0,"L 37 6EE",8.0,2.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
63.0,2.0,"£50-£100","2 Visits",2.0,63.0,"SN 7 7JA",36.0,8.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
55.0,2.0,"£50-£100","2 Visits",2.0,55.0,"BB 4 8JL",12.0,3.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
57.0,1.0,"£50-£100","1 Visit",1.0,57.0,"WS 5 4RW",11.0,3.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
55.0,1.0,"£50-£100","1 Visit",1.0,55.0,"CF 3 8SJ",14.0,4.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
52.0,1.0,"£50-£100","1 Visit",1.0,52.0,"LU 2 0QZ",26.0,6.0,"MR","Male",1972.0,22.0,"18-25 years","Non-responder"
255.0,14.0,"£200-£300","5 Or More Visits",16.0,263.0,"SK14 4AA",11.0,3.0,"Mrs","Female",1971.0,23.0,"18-25 years","Responder"
84.0,1.0,"£50-£100","1 Visit",1.0,84.0,"NE12 0JR",39.0,9.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
82.0,2.0,"£50-£100","2 Visits",2.0,82.0,"DA 1 1QS",30.0,7.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
117.0,6.0,"£100-£150","5 Or More Visits",6.0,117.0,"SO 5 5LS",29.0,6.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
60.0,5.0,"£50-£100","5 Or More Visits",5.0,60.0,"WF17 8DB",11.0,3.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
76.0,3.0,"£50-£100","3 Visits",3.0,76.0,"CH 4 0TE",43.0,10.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
120.0,4.0,"£100-£150","4 Visits",4.0,120.0,"LL55 4UP",37.0,9.0,"MRS","Female",1971.0,23.0,"18-25 years","Non-responder"
52.0,1.0,"£50-£100","1 Visit",1.0,52.0,"NW 6 5DE",23.0,5.0,"MRS","Female",1971.0,23.0,"18-25 years","Non-responder"
83.0,4.0,"£50-£100","4 Visits",4.0,83.0,"DE 4 2GG",11.0,3.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
70.0,6.0,"£50-£100","5 Or More Visits",6.0,70.0,"SY15 6LH",50.0,11.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
98.0,6.0,"£50-£100","5 Or More Visits",6.0,98.0,"WS13 7PB",16.0,4.0,"MRS","Female",1971.0,23.0,"18-25 years","Non-responder"
85.0,6.0,"£50-£100","5 Or More Visits",6.0,85.0,"BD22 8JX",29.0,6.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
67.0,4.0,"£50-£100","4 Visits",4.0,67.0,"NN 3 5JH",43.0,10.0,"MISS","Female",1971.0,23.0,"18-25 years","Non-responder"
69.0,2.0,"£50-£100","2 Visits",2.0,69.0,"LE11 0JJ",17.0,4.0,"MS","Female",1971.0,23.0,"18-25 years","Non-responder"
61.0,1.0,"£50-£100","1 Visit",6.0,180.0,"PR 8 4EQ",8.0,2.0,"MR","Male",1971.0,23.0,"18-25 years","Responder"
96.0,5.0,"£50-£100","5 Or More Visits",6.0,104.0,"B 79 0JP",11.0,3.0,"MR","Male",1971.0,23.0,"18-25 years","Responder"
99.0,2.0,"£50-£100","2 Visits",2.0,99.0,"SL 1 2AX",32.0,7.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
37.0,3.0,"Under £50","3 Visits",3.0,37.0,"DA 1 5AN",30.0,7.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
52.0,1.0,"£50-£100","1 Visit",1.0,52.0,"CF38 2NS",44.0,10.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
91.0,1.0,"£50-£100","1 Visit",1.0,91.0,"CM 1 2PE",7.0,2.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
89.0,3.0,"£50-£100","3 Visits",3.0,89.0,"OL13 8QE",11.0,3.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
69.0,3.0,"£50-£100","3 Visits",3.0,69.0,"SY 2 5XN",15.0,4.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
54.0,4.0,"£50-£100","4 Visits",4.0,54.0,"SR 4 6QS",29.0,6.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
53.0,7.0,"£50-£100","5 Or More Visits",7.0,53.0,"BS21 6UQ",11.0,3.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
60.0,1.0,"£50-£100","1 Visit",1.0,60.0,"BN17 5LD",40.0,9.0,"MR","Male",1971.0,23.0,"18-25 years","Non-responder"
349.0,17.0,"£300-£500","5 Or More Visits",20.0,422.0,"CT18 7LZ",8.0,2.0,"Miss","Female",1970.0,24.0,"18-25 years","Responder"
32.0,5.0,"Under £50","5 Or More Visits",6.0,39.0,"SP10 3QF",10.0,3.0,"MISS","Female",1970.0,24.0,"18-25 years","Responder"
190.0,6.0,"£150-£200","5 Or More Visits",8.0,198.0,"SP10 3TT",42.0,10.0,"MISS","Female",1970.0,24.0,"18-25 years","Responder"
78.0,6.0,"£50-£100","5 Or More Visits",7.0,95.0,"PO 3 5DH",30.0,7.0,"MRS","Female",1970.0,24.0,"18-25 years","Responder"
70.0,2.0,"£50-£100","2 Visits",3.0,84.0,"NR 8 6LQ",7.0,2.0,"MISS","Female",1970.0,24.0,"18-25 years","Responder"
73.0,2.0,"£50-£100","2 Visits",2.0,73.0,"BS 4 1LX",17.0,4.0,"MISS","Female",1970.0,24.0,"18-25 years","Non-responder"
75.0,1.0,"£50-£100","1 Visit",1.0,75.0,"BA12 7AW",47.0,11.0,"MISS","Female",1970.0,24.0,"18-25 years","Non-responder"
57.0,1.0,"£50-£100","1 Visit",1.0,57.0,"SM 4 6PF",29.0,6.0,"MRS","Female",1970.0,24.0,"18-25 years","Non-responder"
51.0,5.0,"£50-£100","5 Or More Visits",5.0,51.0,"DY 5 3GZ",2.0,1.0,"MRS","Female",1970.0,24.0,"18-25 years","Non-responder"
63.0,3.0,"£50-£100","3 Visits",3.0,63.0,"SS 9 2AP",7.0,2.0,"MRS","Female",1970.0,24.0,"18-25 years","Non-responder"
77.0,4.0,"£50-£100","4 Visits",4.0,77.0,"PO 7 8PJ",17.0,4.0,"MISS","Female",1970.0,24.0,"18-25 years","Non-responder"
90.0,1.0,"£50-£100","1 Visit",1.0,90.0,"CF48 1YX",17.0,4.0,"MRS","Female",1970.0,24.0,"18-25 years","Non-responder"
67.0,8.0,"£50-£100","5 Or More Visits",8.0,67.0,"NR 9 3QG",43.0,10.0,"MRS","Female",1970.0,24.0,"18-25 years","Non-responder"
91.0,2.0,"£50-£100","2 Visits",2.0,91.0,"WS12 4NZ",41.0,10.0,"MRS","Female",1970.0,24.0,"18-25 years","Non-responder"
60.0,2.0,"£50-£100","2 Visits",2.0,60.0,"BL 9 7DP",12.0,3.0,"MISS","Female",1970.0,24.0,"18-25 years","Non-responder"
51.0,2.0,"£50-£100","2 Visits",2.0,51.0,"SW18 1HN",34.0,8.0,"MISS","Female",1970.0,24.0,"18-25 years","Non-responder"
92.0,1.0,"£50-£100","1 Visit",1.0,92.0,"WF17 0PR",20.0,5.0,"MISS","Female",1970.0,24.0,"18-25 years","Non-responder"
91.0,6.0,"£50-£100","5 Or More Visits",8.0,104.0,"OL13 8PG",12.0,3.0,"MR","Male",1970.0,24.0,"18-25 years","Responder"
92.0,5.0,"£50-£100","5 Or More Visits",6.0,94.0,"NR31 6BG",29.0,6.0,"MR","Male",1970.0,24.0,"18-25 years","Responder"
54.0,5.0,"£50-£100","5 Or More Visits",7.0,62.0,"ST15 8SX",41.0,10.0,"MR","Male",1970.0,24.0,"18-25 years","Responder"
64.0,10.0,"£50-£100","5 Or More Visits",12.0,76.0,"BB11 4PP",20.0,5.0,"MR","Male",1970.0,24.0,"18-25 years","Responder"
0.0,0.0,"Under £50","No Visits",0.0,0.0,"EN 2 8BU",30.0,7.0,"Mr","Male",1970.0,24.0,"18-25 years","Non-responder"
56.0,2.0,"£50-£100","2 Visits",2.0,56.0,"SP 9 7RD",51.0,12.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
56.0,3.0,"£50-£100","3 Visits",3.0,56.0,"KT13 8RB",40.0,9.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
92.0,4.0,"£50-£100","4 Visits",4.0,92.0,"LE15 6ND",41.0,10.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
74.0,4.0,"£50-£100","4 Visits",4.0,74.0,"CV 6 7DA",11.0,3.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
80.0,3.0,"£50-£100","3 Visits",3.0,80.0,"PL31 1LX",16.0,4.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
66.0,2.0,"£50-£100","2 Visits",2.0,66.0,"PO 8 9UG",17.0,4.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
88.0,8.0,"£50-£100","5 Or More Visits",8.0,88.0,"CR 5 2SJ",30.0,7.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
182.0,6.0,"£150-£200","5 Or More Visits",6.0,182.0,"BA21 3DY",11.0,3.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
58.0,1.0,"£50-£100","1 Visit",1.0,58.0,"NN 5 7AZ",12.0,3.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
89.0,3.0,"£50-£100","3 Visits",3.0,89.0,"ME10 3PJ",44.0,10.0,"MR","Male",1970.0,24.0,"18-25 years","Non-responder"
67.0,1.0,"£50-£100","1 Visit",3.0,103.0,"RH16 3RE",37.0,9.0,"MRS","Female",1969.0,25.0,"18-25 years","Responder"
98.0,1.0,"£50-£100","1 Visit",2.0,151.0,"WN 4 0RY",44.0,10.0,"MRS","Female",1969.0,25.0,"18-25 years","Responder"
67.0,3.0,"£50-£100","3 Visits",6.0,148.0,"SN 4 0PF",3.0,1.0,"MRS","Female",1969.0,25.0,"18-25 years","Responder"
85.0,1.0,"£50-£100","1 Visit",1.0,85.0,"IG 8 7EX",30.0,7.0,"MISS","Female",1969.0,25.0,"18-25 years","Non-responder"
54.0,2.0,"£50-£100","2 Visits",2.0,54.0,"LS13 2SU",18.0,5.0,"MISS","Female",1969.0,25.0,"18-25 years","Non-responder"
87.0,3.0,"£50-£100","3 Visits",3.0,87.0,"SL 2 5NR",27.0,6.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
91.0,1.0,"£50-£100","1 Visit",1.0,91.0,"OX14 5JT",14.0,4.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
51.0,4.0,"£50-£100","4 Visits",4.0,51.0,"LE 3 6PX",11.0,3.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
72.0,1.0,"£50-£100","1 Visit",1.0,72.0,"WA 2 0UR",43.0,10.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
89.0,1.0,"£50-£100","1 Visit",1.0,89.0,"WS15 1JX",10.0,3.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
51.0,3.0,"£50-£100","3 Visits",3.0,51.0,"WA 2 9TZ",15.0,4.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
62.0,1.0,"£50-£100","1 Visit",1.0,62.0,"NN 9 7LQ",10.0,3.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
69.0,4.0,"£50-£100","4 Visits",4.0,69.0,"PO 7 6XL",2.0,1.0,"MRS","Female",1969.0,25.0,"18-25 years","Non-responder"
71.0,2.0,"£50-£100","2 Visits",2.0,71.0,"BS19 1HR",11.0,3.0,"MISS","Female",1969.0,25.0,"18-25 years","Non-responder"
85.0,1.0,"£50-£100","1 Visit",4.0,112.0,"CV 2 4LN",29.0,6.0,"MR","Male",1969.0,25.0,"18-25 years","Responder"
86.0,11.0,"£50-£100","5 Or More Visits",16.0,148.0,"B 79 8NP",9.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Responder"
121.0,6.0,"£100-£150","5 Or More Visits",9.0,153.0,"WA10 2SA",17.0,4.0,"MR","Male",1969.0,25.0,"18-25 years","Responder"
50.0,3.0,"£50-£100","3 Visits",5.0,72.0,"SN 3 4JY",9.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Responder"
17.0,1.0,"Under £50","1 Visit",5.0,60.0,"WS 8 6AR",28.0,6.0,"MR","Male",1969.0,25.0,"18-25 years","Responder"
83.0,5.0,"£50-£100","5 Or More Visits",7.0,111.0,"W  5 4XR",24.0,6.0,"MR","Male",1969.0,25.0,"18-25 years","Responder"
251.0,6.0,"£200-£300","5 Or More Visits",6.0,251.0,"IP 1 5HD",29.0,6.0,"Mr","Male",1969.0,25.0,"18-25 years","Non-responder"
58.0,2.0,"£50-£100","2 Visits",2.0,58.0,"S 61 1SQ",17.0,4.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
61.0,2.0,"£50-£100","2 Visits",2.0,61.0,"SS14 2JL",15.0,4.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
68.0,1.0,"£50-£100","1 Visit",1.0,68.0,"RH16 2BW",30.0,7.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
95.0,1.0,"£50-£100","1 Visit",1.0,95.0,"E  9 5BA",23.0,5.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
57.0,4.0,"£50-£100","4 Visits",4.0,57.0,"TQ 1 1SZ",31.0,7.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
69.0,3.0,"£50-£100","3 Visits",3.0,69.0,"EX 4 9BJ",16.0,4.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
85.0,3.0,"£50-£100","3 Visits",3.0,85.0,"M 26 0EY",11.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
53.0,2.0,"£50-£100","2 Visits",2.0,53.0,"CM 1 4UP",44.0,10.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
59.0,1.0,"£50-£100","1 Visit",1.0,59.0,"B 24 9ND",10.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
59.0,7.0,"£50-£100","5 Or More Visits",7.0,59.0,"GU16 5DX",42.0,10.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
83.0,2.0,"£50-£100","2 Visits",2.0,83.0,"B 34 7DP",15.0,4.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
80.0,1.0,"£50-£100","1 Visit",1.0,80.0,"GU14 7BS",1.0,1.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
64.0,7.0,"£50-£100","5 Or More Visits",7.0,64.0,"WS12 4SJ",43.0,10.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
76.0,10.0,"£50-£100","5 Or More Visits",10.0,76.0,"GU15 3BD",34.0,8.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
62.0,2.0,"£50-£100","2 Visits",2.0,62.0,"LS25 7HB",29.0,6.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
53.0,1.0,"£50-£100","1 Visit",1.0,53.0,"CV 6 3GW",12.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
111.0,2.0,"£100-£150","2 Visits",2.0,111.0,"TS 7 8HZ",1.0,1.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
63.0,4.0,"£50-£100","4 Visits",4.0,63.0,"WF10 2LR",12.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
57.0,2.0,"£50-£100","2 Visits",2.0,57.0,"NG10 3GR",11.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
72.0,1.0,"£50-£100","1 Visit",1.0,72.0,"PE 1 3EB",8.0,2.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
60.0,1.0,"£50-£100","1 Visit",1.0,60.0,"WS 5 4SA",41.0,10.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
74.0,2.0,"£50-£100","2 Visits",2.0,74.0,"LS28 9BS",44.0,10.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
99.0,1.0,"£50-£100","1 Visit",1.0,99.0,"WF 5 8DL",10.0,3.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
83.0,2.0,"£50-£100","2 Visits",2.0,83.0,"BD23 1ST",29.0,6.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
84.0,1.0,"£50-£100","1 Visit",1.0,84.0,"IG11 7QE",24.0,6.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
77.0,10.0,"£50-£100","5 Or More Visits",10.0,77.0,"CV22 7TR",2.0,1.0,"MR","Male",1969.0,25.0,"18-25 years","Non-responder"
91.0,6.0,"£50-£100","5 Or More Visits",7.0,93.0,"CM 3 3EN",31.0,7.0,"MISS","Female",1968.0,26.0,"26-35 years","Responder"
71.0,5.0,"£50-£100","5 Or More Visits",6.0,76.0,"OX16 7WP",43.0,10.0,"MISS","Female",1968.0,26.0,"26-35 years","Responder"
88.0,4.0,"£50-£100","4 Visits",13.0,324.0,"B 44 9DJ",13.0,4.0,"MRS","Female",1968.0,26.0,"26-35 years","Responder"
53.0,1.0,"£50-£100","1 Visit",3.0,226.0,"NN11 4SP",43.0,10.0,"MISS","Female",1968.0,26.0,"26-35 years","Responder"
61.0,1.0,"£50-£100","1 Visit",3.0,93.0,"BD21 2QT",12.0,3.0,"MRS","Female",1968.0,26.0,"26-35 years","Responder"
198.0,16.0,"£150-£200","5 Or More Visits",16.0,198.0,"CR 0 3HJ",24.0,6.0,"Mrs","Female",1968.0,26.0,"26-35 years","Non-responder"
58.0,8.0,"£50-£100","5 Or More Visits",8.0,58.0,"HU 5 5YE",44.0,10.0,"MS","Female",1968.0,26.0,"26-35 years","Non-responder"
51.0,2.0,"£50-£100","2 Visits",2.0,51.0,"BA11 1PJ",29.0,6.0,"MISS","Female",1968.0,26.0,"26-35 years","Non-responder"
95.0,7.0,"£50-£100","5 Or More Visits",7.0,95.0,"CV 7 8GR",11.0,3.0,"MRS","Female",1968.0,26.0,"26-35 years","Non-responder"
83.0,2.0,"£50-£100","2 Visits",2.0,83.0,"DA 1 2QX",16.0,4.0,"MISS","Female",1968.0,26.0,"26-35 years","Non-responder"
70.0,6.0,"£50-£100","5 Or More Visits",6.0,70.0,"PE32 1DG",6.0,2.0,"MRS","Female",1968.0,26.0,"26-35 years","Non-responder"
70.0,1.0,"£50-£100","1 Visit",1.0,70.0,"SA67 8LX",50.0,11.0,"MRS","Female",1968.0,26.0,"26-35 years","Non-responder"
68.0,1.0,"£50-£100","1 Visit",1.0,68.0,"SK 2 7DZ",6.0,2.0,"MRS","Female",1968.0,26.0,"26-35 years","Non-responder"
76.0,2.0,"£50-£100","2 Visits",2.0,76.0,"YO 8 0YF",17.0,4.0,"MS","Female",1968.0,26.0,"26-35 years","Non-responder"
78.0,2.0,"£50-£100","2 Visits",2.0,78.0,"OL13 8JB",9.0,3.0,"MISS","Female",1968.0,26.0,"26-35 years","Non-responder"
63.0,2.0,"£50-£100","2 Visits",2.0,63.0,"S 12 2GU",44.0,10.0,"MRS","Female",1968.0,26.0,"26-35 years","Non-responder"
79.0,2.0,"£50-£100","2 Visits",2.0,79.0,"WS10 8RJ",17.0,4.0,"MISS","Female",1968.0,26.0,"26-35 years","Non-responder"
59.0,7.0,"£50-£100","5 Or More Visits",7.0,59.0,"TS 1 4NF",27.0,6.0,"MISS","Female",1968.0,26.0,"26-35 years","Non-responder"
94.0,1.0,"£50-£100","1 Visit",1.0,94.0,"LD 1 5NB",45.0,11.0,"MRS","Female",1968.0,26.0,"26-35 years","Non-responder"
75.0,1.0,"£50-£100","1 Visit",1.0,75.0,"CT21 5BZ",22.0,5.0,"MISS","Female",1968.0,26.0,"26-35 years","Non-responder"
52.0,1.0,"£50-£100","1 Visit",1.0,52.0,"ME16 9BJ",40.0,9.0,"MISS","Female",1968.0,26.0,"26-35 years","Non-responder"
366.0,36.0,"£300-£500","5 Or More Visits",38.0,399.0,"CV21 4JU",9.0,3.0,"Mr","Male",1968.0,26.0,"26-35 years","Responder"
58.0,3.0,"£50-£100","3 Visits",4.0,63.0,"WF 6 1RQ",29.0,6.0,"MR","Male",1968.0,26.0,"26-35 years","Responder"
80.0,8.0,"£50-£100","5 Or More Visits",12.0,139.0,"OX16 8FP",43.0,10.0,"MR","Male",1968.0,26.0,"26-35 years","Responder"
99.0,1.0,"£50-£100","1 Visit",1.0,99.0,"HD 3 3AJ",6.0,2.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
86.0,2.0,"£50-£100","2 Visits",2.0,86.0,"SS16 5AT",12.0,3.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
79.0,1.0,"£50-£100","1 Visit",1.0,79.0,"MK45 4JH",4.0,1.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
60.0,2.0,"£50-£100","2 Visits",2.0,60.0,"BD15 0JL",11.0,3.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
77.0,1.0,"£50-£100","1 Visit",1.0,77.0,"DA16 2HZ",8.0,2.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
52.0,1.0,"£50-£100","1 Visit",1.0,52.0,"TN29 9BL",28.0,6.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
87.0,1.0,"£50-£100","1 Visit",1.0,87.0,"WF 5 9RL",11.0,3.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
97.0,2.0,"£50-£100","2 Visits",2.0,97.0,"RG28 7EW",6.0,2.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
80.0,4.0,"£50-£100","4 Visits",4.0,80.0,"PR 1 8EX",29.0,6.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
86.0,10.0,"£50-£100","5 Or More Visits",10.0,86.0,"B 78 1PF",13.0,4.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
74.0,3.0,"£50-£100","3 Visits",3.0,74.0,"PO21 1JQ",29.0,6.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
73.0,1.0,"£50-£100","1 Visit",1.0,73.0,"WD 6 3QF",32.0,7.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
96.0,1.0,"£50-£100","1 Visit",1.0,96.0,"IP24 1PF",47.0,11.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
59.0,3.0,"£50-£100","3 Visits",3.0,59.0,"GU13 0YS",41.0,10.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
53.0,1.0,"£50-£100","1 Visit",1.0,53.0,"SY 3 0DR",39.0,9.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
63.0,3.0,"£50-£100","3 Visits",3.0,63.0,"N 13 6LD",41.0,10.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
60.0,2.0,"£50-£100","2 Visits",2.0,60.0,"RG11 1DA",32.0,7.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
93.0,3.0,"£50-£100","3 Visits",3.0,93.0,"SE 9 4LN",16.0,4.0,"MR","Male",1968.0,26.0,"26-35 years","Non-responder"
