Gender,Height,Weight,Index
Male,183,147,overweight
Female,162,58,normal
Female,172,109,overweight
Female,150,119,overweight
Female,169,145,overweight
Female,184,132,overweight
Male,159,104,overweight
Male,163,131,overweight
Male,156,137,overweight
Female,157,52,normal
Male,147,84,overweight
Male,141,86,overweight
Male,173,139,overweight
Male,154,145,overweight
Male,168,148,overweight
Male,168,50,underweight
Male,145,130,overweight
Male,152,103,overweight
Female,187,121,overweight
Female,163,57,underweight
Male,178,83,overweight
Female,187,94,overweight
Female,179,114,overweight
Male,190,80,normal
Male,172,75,overweight
Male,188,57,underweight
Male,193,65,underweight
Female,147,126,overweight
Female,147,94,overweight
Male,166,107,overweight
Female,192,139,overweight
Male,181,139,overweight
Male,150,74,overweight
Male,178,160,overweight
Female,156,52,normal
Male,149,100,overweight
Male,156,74,overweight
Male,183,105,overweight
Female,162,68,overweight
Female,165,83,overweight
Female,168,143,overweight
Male,160,156,overweight
Female,169,88,normal
Female,140,76,overweight
Female,187,92,overweight
Male,151,82,overweight
Female,186,140,overweight
Male,182,108,overweight
Male,188,81,normal
Male,179,110,overweight
Female,156,126,overweight
Male,188,114,overweight
Male,183,153,overweight
Male,144,88,overweight
Male,196,69,underweight
Male,171,141,overweight
Male,171,147,overweight
Female,180,156,overweight
Male,191,146,overweight
Female,179,67,normal
Female,180,60,normal
Female,154,132,overweight
Male,188,99,overweight
Male,142,135,overweight
Male,170,95,overweight
Male,152,141,overweight
Female,190,118,overweight
Female,181,111,overweight
Male,153,104,overweight
Male,187,140,overweight
Female,144,66,overweight
Female,148,54,normal
Female,199,92,normal
Female,167,85,overweight
Female,164,71,overweight
Female,185,102,overweight
Female,164,160,overweight
Male,142,71,overweight
Male,165,68,normal
Female,172,62,normal
Female,157,56,normal
Male,155,57,normal
Female,167,153,overweight
Female,164,126,overweight
Female,189,125,overweight
Female,161,145,overweight
Female,155,71,overweight
Female,171,118,overweight
Female,154,92,overweight
Male,179,83,overweight
Male,170,115,overweight
Female,184,106,overweight
Female,191,68,normal
Male,162,58,normal
Male,178,138,overweight
Female,157,60,normal
Male,184,83,normal
Male,197,88,normal
Female,160,51,normal
Male,184,153,overweight
Male,190,50,underweight
Male,174,90,overweight
Female,189,124,overweight
Female,186,143,overweight
Female,180,58,underweight
Female,186,148,overweight
Female,193,61,underweight
Male,161,103,overweight
Female,151,158,overweight
Female,195,147,overweight
Female,184,152,overweight
Male,141,80,overweight
Female,185,94,overweight
Female,186,127,overweight
Male,142,131,overweight
Female,147,67,overweight
Male,151,62,overweight
Female,160,124,overweight
Male,185,60,underweight
Female,163,63,normal
Male,174,95,overweight
Female,150,144,overweight
Male,142,91,overweight
Male,178,142,overweight
Female,154,96,overweight
Male,176,87,overweight
Male,159,120,overweight
Male,191,62,underweight
Male,177,117,overweight
Male,151,154,overweight
Female,182,149,overweight
Female,197,72,normal
Male,146,138,overweight
Female,160,83,overweight
Female,157,66,overweight
Female,150,50,normal
Female,167,58,normal
Female,180,70,normal
Female,183,76,normal
Female,183,87,overweight
Female,152,154,overweight
Female,164,71,overweight
Male,187,96,overweight
Male,169,136,overweight
Female,149,61,overweight
Male,163,137,overweight
Female,195,104,overweight
Male,174,107,overweight
Male,182,70,normal
Male,169,110,overweight
Male,193,130,overweight
Male,148,141,overweight
Male,186,68,normal
Male,165,143,overweight
Female,146,123,overweight
Female,166,133,overweight
Male,179,56,underweight
Female,177,101,overweight
Male,181,154,overweight
Female,161,154,overweight
Female,157,103,overweight
Female,169,98,overweight
Female,152,114,overweight
Female,162,64,normal
Male,162,130,overweight
Female,177,61,normal
Female,195,61,underweight
Male,140,146,overweight
Female,186,146,overweight
Female,178,107,overweight
Male,174,54,underweight
Female,180,59,underweight
Male,188,141,overweight
Female,187,130,overweight
Female,153,77,overweight
Female,165,95,overweight
Female,178,79,normal
Female,163,154,overweight
Female,150,97,overweight
Male,179,127,overweight
Male,165,62,normal
Male,168,158,overweight
Female,153,133,overweight
Male,184,157,overweight
Male,188,65,underweight
Female,166,153,overweight
Female,172,116,overweight
Male,182,73,normal
Male,143,149,overweight
Male,152,146,overweight
Female,186,128,overweight
Male,159,140,overweight
Male,146,70,overweight
Female,176,121,overweight
Female,146,101,overweight
Male,159,145,overweight
Male,162,157,overweight
Female,172,90,overweight
Female,169,121,overweight
Male,182,50,underweight
Female,183,79,normal
Male,176,77,normal
Female,188,128,overweight
Female,175,83,normal
Male,154,81,overweight
Female,184,147,overweight
Male,179,123,overweight
Male,152,132,overweight
Male,179,56,underweight
Female,145,141,overweight
Female,181,80,normal
Male,158,127,overweight
Female,188,99,overweight
Male,145,142,overweight
Male,161,115,overweight
Male,198,109,overweight
Male,147,142,overweight
Male,154,112,overweight
Female,178,65,normal
Male,195,153,overweight
Female,167,79,overweight
Male,183,131,overweight
Female,164,142,overweight
Male,167,64,normal
Female,151,55,normal
Female,147,107,overweight
Female,155,115,overweight
Female,172,108,overweight
Female,142,86,overweight
Male,146,85,overweight
Female,188,115,overweight
Male,173,111,overweight
Female,160,109,overweight
Male,187,80,normal
Male,198,136,overweight
Female,179,150,overweight
Female,164,59,normal
Female,146,147,overweight
Female,198,50,underweight
Female,170,53,underweight
Male,152,98,overweight
Female,150,153,overweight
Female,184,121,overweight
Female,141,136,overweight
Male,150,95,overweight
Male,173,131,overweight
