tractor_id,day,vibration_index,heat_index,oil_pressure,sensor_error_code
T-002,25,10.05,74.46,44.83,0
T-002,26,12.53,69.82,41.35,2
T-002,27,13.09,72.23,63.5,0
T-002,28,8.86,69.01,57.05,0
T-002,29,9.73,84.82,49.94,1
T-002,30,8.44,75.18,61.84,0
T-003,1,7.99,63.32,35.06,1
T-003,2,8.45,69.52,43.88,0
T-003,3,8.82,63.47,57.33,0
T-003,4,8.57,61.27,58.72,0
T-003,5,8.29,65.55,63.65,0
T-003,6,9.78,66.06,49.74,0
T-003,7,9.24,66.6,56.63,0
T-003,8,7.91,67.09,58.08,0
T-003,9,7.09,66.55,46.03,0
T-003,10,8.64,66.43,53.1,0
T-003,11,8.22,63.28,55.27,0
T-003,12,9.71,62.96,42.73,0
T-003,13,8.99,67.23,63.14,0
T-003,14,8.76,65.73,49.69,0
T-003,15,8.01,67.46,50.7,0
T-003,16,7.12,59.88,42.42,0
T-003,17,7.8,63.5,43.76,0
T-003,18,8.48,70.72,32.43,0
T-003,19,6.27,66.66,50.44,0
T-003,20,9.24,65.89,70.05,0
T-003,21,10.07,67.12,41.85,0
T-003,22,6.06,71.63,73.81,0
T-003,23,6.6,70.99,61.31,0
T-003,24,8.23,60.26,46.21,0
T-003,25,7.42,61.37,50.22,0
T-003,26,8.26,60.16,48.92,0
T-003,27,7.93,62.76,63.65,0
T-003,28,6.98,65.16,54.14,0
T-003,29,9.29,65.73,59.46,0
T-003,30,8.46,60.41,52.87,0
T-004,1,10.54,62.65,47.19,0
T-004,2,8.52,67.02,48.17,2
T-004,3,7.41,64.66,56.51,0
T-004,4,7.87,65.47,42.48,0
T-004,5,9.07,72.71,51.88,0
T-004,6,7.42,61.68,52.02,0
T-004,7,8.85,69.17,63.17,0
T-004,8,5.68,57.02,41.94,0
T-004,9,7.77,58.76,44.74,0
T-004,10,8.63,61.28,42.5,0
T-004,11,9.27,61.47,36.64,0
T-004,12,7.18,65.61,64.12,0
T-004,13,6.5,65.87,40.07,0
T-004,14,7.74,64.24,43.47,0
T-004,15,6.87,64.55,60.53,0
T-004,16,7.85,66.58,35.98,0
T-004,17,7.99,67.5,56.05,0
T-004,18,6.68,61.02,38.7,0
T-004,19,8.8,63.91,59.97,0
T-004,20,7.84,64.79,32.64,0
T-004,21,9.08,66.46,35.97,0
T-004,22,6.16,62.68,45.64,0
T-004,23,6.98,64.73,57.77,0
T-004,24,8.52,65.09,49.75,0
T-004,25,7.2,62.89,47.31,0
T-004,26,7.84,62.82,60.77,0
T-004,27,8.0,65.3,67.24,0
T-004,28,8.16,64.61,55.38,0
T-004,29,7.32,66.5,45.02,0
T-004,30,8.15,61.84,46.65,0
T-005,1,7.77,68.85,51.4,0
T-005,2,9.21,67.07,61.11,2
T-005,3,8.23,67.51,59.84,0
T-005,4,8.43,69.1,56.69,0
T-005,5,8.54,69.06,28.82,0
T-005,6,8.13,68.09,55.84,2
T-005,7,8.52,65.43,48.26,0
T-005,8,7.88,63.85,57.97,0
T-005,9,7.95,65.31,52.05,0
T-005,10,6.88,63.4,49.84,0
T-005,11,8.3,59.14,55.13,0
T-005,12,6.28,64.16,48.62,0
T-005,13,8.28,66.07,49.81,0
T-005,14,7.72,63.24,45.56,0
T-005,15,8.37,64.42,37.16,0
T-005,16,6.95,64.54,54.54,0
T-005,17,5.88,69.07,43.55,1
T-005,18,7.65,63.92,48.39,0
T-005,19,6.95,69.07,52.3,0
T-005,20,6.22,56.86,33.32,0
T-005,21,8.77,69.04,35.11,0
T-005,22,9.6,68.89,47.6,0
T-005,23,7.2,67.71,53.64,0
T-005,24,7.92,58.96,55.95,0
T-005,25,7.69,68.06,37.27,0
T-005,26,7.34,64.85,55.09,0
T-005,27,8.66,57.41,48.04,0
T-005,28,9.01,68.89,42.93,2
T-005,29,7.13,69.33,44.81,0
T-005,30,8.04,59.29,56.41,0
T-006,1,8.2,67.46,58.59,0
T-006,2,6.48,66.52,41.79,0
T-006,3,9.55,68.2,51.06,0
T-006,4,9.8,68.51,44.4,0
T-006,5,7.39,69.15,59.56,0
T-006,6,7.61,66.95,37.81,0
T-006,7,8.29,64.5,45.53,0
T-006,8,8.33,65.44,53.02,0
T-006,9,8.66,68.62,62.52,1
T-006,10,10.01,62.55,49.47,0
T-006,11,7.82,66.11,45.56,0
T-006,12,7.2,63.82,65.05,0
T-006,13,6.62,65.09,38.42,0
T-006,14,7.27,68.84,32.41,0
T-006,15,7.97,65.57,53.52,0
T-006,16,9.79,65.14,45.98,0
T-006,17,7.48,60.92,41.83,0
T-006,18,8.22,67.24,55.67,0
T-006,19,7.98,66.94,51.95,0
T-006,20,9.19,71.49,45.49,0
T-006,21,10.53,64.08,39.76,0
T-006,22,7.47,65.66,56.98,0
T-006,23,7.51,65.75,55.2,0
T-006,24,9.04,69.73,49.21,0
T-006,25,8.68,64.71,64.77,0
T-006,26,9.85,65.84,41.44,0
T-006,27,8.58,66.82,37.8,0
T-006,28,7.64,65.56,44.46,0
T-006,29,8.59,63.66,49.64,0
T-006,30,9.11,65.58,51.95,0
T-007,1,11.94,75.73,53.86,0
T-007,2,11.44,77.61,46.64,0
T-007,3,11.32,77.59,59.05,0
T-007,4,9.73,81.54,47.8,0
T-007,5,10.09,85.58,61.08,0
T-007,6,13.93,73.97,56.06,0
T-007,7,13.32,85.78,50.23,0
T-007,8,12.61,80.86,62.64,0
T-007,9,12.91,74.5,57.62,0
T-007,10,12.77,82.49,73.57,0
T-007,11,11.01,83.43,46.72,0
T-007,12,11.57,72.7,50.61,0
T-007,13,9.29,83.66,62.55,0
T-007,14,11.37,80.38,37.65,0
T-007,15,13.28,86.84,60.54,0
T-007,16,10.51,72.88,53.51,0
T-007,17,13.03,73.23,42.89,0
T-007,18,11.64,64.87,39.1,0
T-007,19,9.42,77.86,44.62,0
T-007,20,9.84,76.88,31.72,0
T-007,21,12.88,72.19,46.08,0
T-007,22,12.33,74.59,54.98,0
T-007,23,11.65,68.44,46.19,0
T-007,24,11.09,80.99,61.11,0
T-007,25,11.82,72.55,63.28,0
T-007,26,12.82,90.47,60.21,1
T-007,27,13.71,74.12,51.85,0
T-007,28,13.79,71.2,31.4,0
T-007,29,12.06,72.94,44.37,0
T-007,30,11.24,67.94,48.86,0
T-008,1,7.68,67.61,48.8,0
T-008,2,10.08,66.49,51.0,0
T-008,3,8.38,65.45,48.62,0
T-008,4,8.43,66.09,50.12,0
T-008,5,9.03,72.21,41.23,0
T-008,6,8.24,64.83,38.48,0
T-008,7,7.74,65.6,62.76,0
T-008,8,7.8,68.15,43.22,0
T-008,9,7.93,68.32,42.07,0
T-008,10,7.96,68.56,32.77,0
T-008,11,8.73,66.92,44.89,0
T-008,12,8.05,61.57,39.42,0
T-008,13,8.73,69.9,63.14,0
T-008,14,7.92,61.56,58.08,0
T-008,15,8.08,65.91,44.49,0
T-008,16,6.0,62.74,68.02,0
T-008,17,8.92,64.81,57.85,0
T-008,18,8.35,65.99,47.4,0
T-008,19,9.0,65.96,30.0,0
T-008,20,5.1,66.27,68.33,0
T-008,21,10.09,69.84,38.88,0
T-008,22,7.86,66.36,36.84,0
T-008,23,9.11,64.27,58.18,0
T-008,24,6.96,67.89,69.52,0
T-008,25,8.61,68.57,61.07,0
T-008,26,6.95,61.32,54.51,0
T-008,27,7.38,66.79,54.76,1
T-008,28,9.91,67.1,56.83,0
T-008,29,7.81,64.11,56.07,0
T-008,30,8.22,69.13,52.25,0
T-009,1,11.87,72.26,39.14,0
T-009,2,14.88,75.82,48.49,0
T-009,3,13.49,72.83,48.85,0
T-009,4,12.13,71.55,45.77,0
T-009,5,9.91,83.36,34.39,1
T-009,6,12.22,79.61,44.97,0
T-009,7,12.61,65.66,43.4,0
T-009,8,11.12,65.13,51.29,0
T-009,9,11.98,80.21,50.88,0
T-009,10,13.76,72.4,53.02,0
T-009,11,10.21,66.75,44.59,0
T-009,12,9.91,80.23,54.18,0
T-009,13,12.54,75.85,37.55,0
T-009,14,12.19,76.26,35.42,0
T-009,15,13.04,79.05,31.32,0
T-009,16,12.35,68.45,46.01,0
T-009,17,10.65,66.84,43.97,0
T-009,18,12.15,82.9,56.31,0
T-009,19,9.79,67.81,44.81,0
T-009,20,11.12,68.89,52.19,0
T-009,21,12.25,69.89,56.51,0
T-009,22,10.96,85.4,44.51,0
T-009,23,15.2,77.47,52.38,0
T-009,24,8.66,79.83,58.02,0
T-009,25,10.68,75.98,40.09,0
T-009,26,10.09,71.99,50.2,1
T-009,27,10.45,78.16,44.54,0
T-009,28,10.54,67.22,40.6,0
T-009,29,9.51,69.52,37.71,0
T-009,30,12.63,78.66,40.47,0
T-010,1,7.97,65.48,48.62,0
T-010,2,8.82,65.01,63.69,0
T-010,3,9.39,66.31,39.02,0
T-010,4,8.56,68.57,37.09,0
T-010,5,8.01,67.85,61.77,0
T-010,6,6.69,60.55,48.33,0
T-010,7,6.93,57.34,44.65,0
T-010,8,7.69,67.8,58.32,0
T-010,9,7.39,60.9,45.16,0
T-010,10,7.81,64.33,64.61,1
T-010,11,8.06,61.49,55.42,0
T-010,12,8.53,59.59,46.1,0
T-010,13,7.93,66.62,67.26,0
T-010,14,8.49,67.28,45.15,0
T-010,15,8.06,63.27,55.94,0
T-010,16,6.02,57.23,52.39,0
T-010,17,7.06,63.36,60.41,0
T-010,18,7.86,66.18,62.49,0
T-010,19,6.79,60.56,50.26,0
T-010,20,8.6,65.55,43.97,0
T-010,21,9.53,64.95,53.68,0
T-010,22,9.22,66.74,44.58,1
T-010,23,7.79,65.36,66.11,0
T-010,24,9.49,62.08,51.09,0
T-010,25,8.15,68.59,47.08,1
T-010,26,7.66,64.52,51.48,0
T-010,27,7.39,64.92,39.22,0
T-010,28,7.7,62.2,42.23,0
T-010,29,7.61,63.67,59.6,0
T-010,30,8.17,62.35,44.74,0
T-011,1,12.84,93.87,55.07,0
T-011,2,14.9,82.03,53.8,0
T-011,3,16.22,88.96,51.85,0
T-011,4,10.24,93.61,23.19,0
T-011,5,12.27,85.98,47.7,0
T-011,6,13.76,79.86,42.47,0
T-011,7,15.13,83.93,59.69,0
T-011,8,14.17,91.11,54.95,0
T-011,9,14.41,86.24,46.33,0
T-011,10,18.59,77.77,47.14,0
T-011,11,12.08,88.58,46.85,0
T-011,12,16.77,89.62,46.71,0
T-011,13,13.8,82.87,38.44,0
T-011,14,15.6,88.66,36.71,0
T-011,15,18.76,86.47,50.23,0
T-011,16,15.88,83.82,58.6,2
T-011,17,15.24,77.24,45.7,0
T-011,18,17.7,91.47,52.43,0
T-011,19,16.75,89.56,55.87,1
T-011,20,12.9,88.5,42.05,0
T-011,21,15.09,94.27,49.84,0
T-011,22,11.07,90.67,44.67,1
T-011,23,13.42,89.12,62.85,0
T-011,24,15.13,71.72,62.5,0
T-011,25,13.3,92.18,42.06,0
T-011,26,15.05,85.5,53.09,0
T-011,27,14.47,86.87,58.54,0
T-011,28,15.57,86.92,56.79,0
T-011,29,13.65,89.64,50.65,0
T-011,30,12.62,91.73,60.45,0
T-012,1,12.27,75.33,54.95,0
T-012,2,10.7,77.58,66.46,0
T-012,3,9.75,67.19,50.17,0
T-012,4,7.19,72.35,44.18,0
T-012,5,11.46,78.97,48.54,0
T-012,6,14.16,68.73,61.0,0
T-012,7,13.99,76.47,44.83,0
T-012,8,10.81,68.22,43.61,0
T-012,9,10.6,77.33,46.14,0
T-012,10,12.2,74.82,42.37,0
T-012,11,10.0,66.92,50.98,0
T-012,12,11.95,80.82,63.0,2
T-012,13,12.65,71.33,52.58,0
T-012,14,13.34,70.95,47.98,0
T-012,15,11.35,76.0,47.67,0
T-012,16,11.19,80.74,37.49,0
T-012,17,10.18,69.92,57.06,0
T-012,18,10.26,75.31,49.38,0
T-012,19,11.16,77.14,48.56,0
T-012,20,12.05,78.47,75.54,0
T-012,21,12.87,75.88,52.39,0
T-012,22,10.3,73.16,43.99,0
T-012,23,13.74,70.86,46.59,0
T-012,24,11.09,75.43,59.19,0
T-012,25,11.47,69.64,50.91,1
T-012,26,10.38,60.39,38.49,0
T-012,27,7.86,77.18,57.35,2
T-012,28,12.83,79.52,44.65,0
T-012,29,12.61,63.19,64.99,0
T-012,30,11.08,69.95,58.64,0
T-013,1,8.39,66.41,50.31,0
T-013,2,7.23,61.98,51.23,0
T-013,3,7.5,64.33,66.33,1
T-013,4,8.56,63.22,57.54,0
T-013,5,8.29,63.99,67.6,0
T-013,6,7.93,66.3,54.26,0
T-013,7,6.74,63.22,38.23,0
T-013,8,6.99,64.42,47.9,0
T-013,9,8.28,63.49,36.4,0
T-013,10,8.73,69.33,54.23,0
T-013,11,6.89,66.03,55.96,0
T-013,12,7.16,65.66,42.91,0
T-013,13,8.13,67.05,44.75,1
T-013,14,8.11,63.22,51.19,0
T-013,15,6.38,67.58,40.42,0
T-013,16,8.16,66.04,39.81,0
T-013,17,7.4,60.32,59.91,0
T-013,18,9.64,60.72,50.92,0
T-013,19,8.25,63.28,45.54,0
T-013,20,8.42,61.04,36.46,0
T-013,21,8.45,64.29,56.82,1
T-013,22,6.79,61.96,44.52,0
T-013,23,9.94,64.71,64.89,0
T-013,24,6.38,69.24,56.87,0
T-013,25,8.8,64.85,43.53,2
T-013,26,8.62,64.09,44.28,0
T-013,27,7.52,66.16,63.77,0
T-013,28,8.67,62.91,49.33,0
T-013,29,7.68,67.53,45.89,0
T-013,30,7.32,66.49,50.22,0
T-014,1,7.78,67.76,56.84,0
T-014,2,5.93,63.37,60.3,0
T-014,3,8.45,65.43,53.77,0
T-014,4,6.76,63.16,56.76,0
T-014,5,7.11,62.88,64.72,0
T-014,6,7.33,66.03,44.04,2
T-014,7,7.8,62.5,42.45,0
T-014,8,8.01,58.37,41.24,0
T-014,9,9.08,62.34,47.87,0
T-014,10,7.42,64.08,61.47,0
T-014,11,8.48,69.56,54.22,0
T-014,12,10.73,63.53,53.91,0
T-014,13,8.38,66.54,35.45,1
T-014,14,7.82,64.5,44.45,0
T-014,15,7.22,68.68,35.31,0
T-014,16,7.81,68.47,59.37,0
T-014,17,7.11,68.53,62.69,0
T-014,18,8.27,59.8,56.24,0
T-014,19,8.1,65.62,42.11,0
T-014,20,5.84,67.28,61.86,0
T-014,21,7.98,66.14,47.97,0
T-014,22,9.08,66.91,40.28,0
T-014,23,7.6,65.18,42.28,0
T-014,24,7.35,62.77,46.56,0
T-014,25,6.62,59.91,50.4,1
T-014,26,6.14,63.06,48.71,0
T-014,27,8.83,73.03,38.7,0
T-014,28,7.82,63.54,59.71,0
T-014,29,8.77,59.12,48.8,0
T-014,30,9.53,67.2,44.29,2
T-015,1,6.92,69.99,38.92,0
T-015,2,8.33,69.69,57.7,0
T-015,3,10.63,63.22,43.74,0
T-015,4,6.19,58.71,41.36,0
T-015,5,7.48,62.96,57.08,0
T-015,6,7.32,65.23,56.31,0
T-015,7,7.57,63.92,50.63,0
T-015,8,9.02,70.9,58.64,0
T-015,9,8.54,65.06,61.41,0
T-015,10,8.85,66.96,60.47,0
T-015,11,8.03,65.65,45.77,0
T-015,12,6.68,63.96,58.11,0
T-015,13,6.89,59.23,51.69,0
T-015,14,8.75,64.76,63.81,0
T-015,15,8.17,74.76,49.01,0
T-015,16,9.26,61.27,47.15,0
T-015,17,8.29,59.56,45.09,0
T-015,18,6.82,70.81,51.51,0
T-015,19,7.48,67.23,53.73,0
T-015,20,8.56,65.56,53.89,0
T-015,21,8.71,69.09,52.79,0
T-015,22,8.86,62.51,55.37,0
T-015,23,6.95,64.68,48.22,0
T-015,24,6.8,67.87,43.02,0
T-015,25,7.81,71.33,42.32,0
T-015,26,9.44,61.49,57.8,0
T-015,27,7.31,68.84,53.76,0
T-015,28,8.45,66.15,35.15,0
T-015,29,8.46,65.49,58.77,0
T-015,30,8.76,64.98,65.04,0
T-016,1,9.8,63.57,45.93,0
T-016,2,9.24,67.62,48.82,0
T-016,3,8.21,65.79,46.37,0
T-016,4,7.51,65.58,61.62,0
T-016,5,8.81,67.55,52.61,0
T-016,6,7.03,64.59,52.4,0
T-016,7,8.48,66.17,54.98,0
T-016,8,8.51,64.69,40.89,0
T-016,9,9.06,65.8,58.31,0
T-016,10,10.76,63.25,49.39,0
T-016,11,8.39,57.68,55.36,0
T-016,12,7.49,64.6,41.43,0
T-016,13,7.97,69.27,37.57,1
T-016,14,6.23,67.78,56.54,0
T-016,15,7.31,67.9,53.01,0
T-016,16,7.59,68.71,42.78,0
T-016,17,7.48,65.27,43.04,0
T-016,18,8.15,65.59,59.0,0
T-016,19,7.18,63.15,40.48,0
T-016,20,9.12,64.05,63.14,1
T-016,21,8.0,66.85,42.8,0
T-016,22,7.99,68.61,55.11,0
T-016,23,7.67,64.58,47.37,0
T-016,24,8.16,63.65,54.83,0
T-016,25,8.83,65.0,45.65,0
T-016,26,7.13,66.8,48.7,0
T-016,27,7.34,60.67,50.33,0
T-016,28,7.7,58.11,41.98,0
T-016,29,6.65,63.35,55.93,0
T-016,30,7.18,61.34,45.89,0
T-017,1,8.96,63.62,50.08,0
T-017,2,9.92,67.59,51.48,0
T-017,3,9.88,67.71,62.93,0
T-017,4,8.79,65.18,41.21,0
T-017,5,9.03,66.32,52.29,0
T-017,6,8.13,61.9,43.45,0
T-017,7,8.52,68.73,29.28,0
T-017,8,9.94,62.3,49.61,0
T-017,9,8.37,62.88,50.25,0
T-017,10,9.15,65.19,54.99,0
T-017,11,7.07,68.34,48.26,0
T-017,12,7.33,68.34,38.09,0
T-017,13,8.31,64.99,43.42,2
T-017,14,8.15,67.32,60.54,1
T-017,15,7.38,59.93,43.31,0
T-017,16,10.41,62.84,62.67,0
T-017,17,8.17,62.9,58.4,0
T-017,18,7.56,68.76,47.46,0
T-017,19,8.15,66.96,44.17,0
T-017,20,8.03,65.55,58.38,0
T-017,21,8.19,65.85,48.07,0
T-017,22,6.41,69.71,37.63,0
T-017,23,9.29,64.49,54.5,0
T-017,24,9.35,61.06,53.34,0
T-017,25,9.47,68.26,59.1,2
T-017,26,8.33,65.55,52.8,0
T-017,27,8.66,67.86,45.61,0
T-017,28,7.13,64.87,60.16,0
T-017,29,8.83,62.48,60.94,0
T-017,30,8.25,66.21,51.87,0
T-018,1,6.47,62.14,54.55,0
T-018,2,8.03,66.27,50.84,0
T-018,3,8.21,65.33,37.29,0
T-018,4,7.81,68.16,56.34,0
T-018,5,6.46,63.28,57.76,0
T-018,6,9.98,60.0,56.43,0
T-018,7,8.55,67.07,50.27,1
T-018,8,10.63,57.32,42.35,0
T-018,9,7.19,62.81,31.53,0
T-018,10,8.96,61.93,51.26,0
T-018,11,8.78,61.91,58.66,0
T-018,12,7.71,62.75,57.96,0
T-018,13,9.41,68.65,56.53,1
T-018,14,7.59,67.46,49.41,0
T-018,15,7.64,64.24,58.7,0
T-018,16,4.53,68.4,57.39,0
T-018,17,8.41,61.81,46.62,0
T-018,18,6.67,61.41,55.41,0
T-018,19,7.45,67.59,45.71,0
T-018,20,6.97,66.74,54.32,0
T-018,21,7.63,63.62,39.61,0
T-018,22,8.44,61.59,40.22,0
T-018,23,8.01,69.38,58.47,0
T-018,24,8.71,59.84,57.5,0
T-018,25,9.27,63.2,55.07,0
T-018,26,7.63,65.69,50.7,0
T-018,27,7.52,70.41,30.87,0
T-018,28,8.96,66.15,49.4,0
T-018,29,9.04,66.44,53.63,0
T-018,30,8.74,63.29,45.72,0
T-019,1,8.03,60.96,51.14,0
T-019,2,8.1,66.12,45.99,0
T-019,3,7.34,62.61,54.97,0
T-019,4,7.5,65.11,48.7,0
T-019,5,6.77,66.17,55.61,0
T-019,6,7.57,72.36,50.54,0
T-019,7,8.68,67.23,55.78,0
T-019,8,7.86,69.09,42.84,0
T-019,9,9.01,70.62,61.4,0
T-019,10,7.81,66.47,55.58,0
T-019,11,6.57,65.86,55.17,0
T-019,12,8.6,61.8,41.06,0
T-019,13,7.33,64.65,63.6,0
T-019,14,7.77,62.83,49.89,0
T-019,15,9.24,63.8,55.82,2
T-019,16,6.84,70.61,47.42,0
T-019,17,8.16,65.34,52.09,0
T-019,18,7.96,62.37,52.38,0
T-019,19,8.7,69.12,27.44,0
T-019,20,8.86,67.87,54.66,0
T-019,21,8.26,68.02,65.72,0
T-019,22,7.64,58.98,54.32,0
T-019,23,8.47,70.85,42.34,0
T-019,24,9.34,63.32,55.2,0
T-019,25,7.97,67.33,58.48,0
T-019,26,7.73,72.57,54.1,0
T-019,27,8.39,71.47,49.41,0
T-019,28,8.04,62.07,48.06,0
T-019,29,6.66,60.67,48.03,0
T-019,30,8.24,69.29,55.58,0
T-020,1,9.99,66.65,48.26,0
T-020,2,7.23,64.24,47.53,0
T-020,3,7.45,64.62,69.41,0
T-020,4,8.86,65.98,53.46,0
T-020,5,7.61,65.26,38.98,0
T-020,6,7.95,58.34,45.48,0
T-020,7,8.03,64.31,58.17,0
T-020,8,6.08,62.45,66.71,0
T-020,9,7.99,65.53,37.31,0
T-020,10,7.31,73.96,34.96,0
T-020,11,7.51,66.1,64.97,0
T-020,12,9.44,64.06,53.12,0
T-020,13,6.74,67.77,43.05,0
T-020,14,8.81,66.45,54.28,0
T-020,15,7.72,66.26,28.91,0
T-020,16,7.72,66.82,50.03,0
T-020,17,8.79,71.17,52.62,0
T-020,18,8.34,61.61,57.39,0
T-020,19,8.57,66.42,41.89,0
T-020,20,8.97,62.22,50.69,0
T-020,21,7.67,66.67,42.6,0
T-020,22,7.39,62.24,52.04,0
T-020,23,6.91,63.75,42.84,0
T-020,24,7.17,64.11,46.74,0
T-020,25,10.95,67.93,42.03,0
T-020,26,9.24,67.76,55.21,0
T-020,27,6.65,61.26,56.87,0
T-020,28,6.68,65.16,48.12,0
T-020,29,8.48,62.87,50.31,0
T-020,30,8.55,61.22,38.41,0
T-021,1,8.57,68.38,62.41,0
T-021,2,7.25,67.32,32.67,0
T-021,3,8.15,62.6,67.5,0
T-021,4,9.18,69.52,54.26,0
T-021,5,7.96,61.31,43.5,0
T-021,6,8.36,68.92,55.87,0
T-021,7,8.29,61.7,60.38,1
T-021,8,8.01,63.94,50.91,0
T-021,9,7.93,66.92,35.88,0
T-021,10,7.43,60.6,47.65,0
T-021,11,8.15,69.41,58.32,0
T-021,12,7.72,63.93,53.97,0
T-021,13,9.55,65.41,48.75,0
T-021,14,8.81,68.49,60.47,0
T-021,15,6.55,62.62,55.91,0
T-021,16,6.6,68.18,56.53,0
T-021,17,7.87,69.92,46.71,0
T-021,18,7.6,63.03,45.94,1
T-021,19,7.82,69.11,36.4,0
T-021,20,8.65,59.72,47.92,0
T-021,21,8.32,66.17,57.48,0
T-021,22,8.31,61.31,48.37,0
T-021,23,9.45,67.83,53.56,0
T-021,24,6.61,67.58,58.89,0
T-021,25,8.1,71.23,52.98,0
T-021,26,7.42,69.26,53.76,0
T-021,27,9.44,64.5,39.14,0
T-021,28,5.79,61.75,47.42,0
T-021,29,5.83,66.7,63.81,0
T-021,30,8.3,64.82,50.83,0
T-022,1,9.07,61.06,53.43,0
T-022,2,10.02,67.6,47.27,0
T-022,3,8.97,66.21,48.67,0
T-022,4,8.33,61.93,51.7,0
T-022,5,9.63,61.38,42.84,0
T-022,6,9.75,66.12,57.97,0
T-022,7,9.77,63.81,52.31,0
T-022,8,7.51,70.46,50.6,0
T-022,9,6.65,67.86,59.54,0
T-022,10,7.45,66.42,49.04,0
T-022,11,8.7,66.57,48.54,0
T-022,12,8.16,68.99,46.12,0
T-022,13,7.79,67.54,52.74,0
T-022,14,8.56,66.5,52.47,0
T-022,15,6.53,62.06,44.67,0
T-022,16,8.14,74.19,48.58,0
T-022,17,9.12,61.69,44.72,0
T-022,18,8.55,64.06,44.36,0
T-022,19,8.69,60.04,36.16,0
T-022,20,9.6,66.62,48.15,0
T-022,21,7.93,65.45,36.38,0
T-022,22,7.35,67.3,46.3,0
T-022,23,9.19,59.78,45.1,0
T-022,24,9.17,68.34,58.42,0
T-022,25,8.56,62.58,41.88,0
T-022,26,7.84,64.55,43.91,0
T-022,27,8.0,67.79,46.95,0
T-022,28,6.72,65.78,45.36,0
T-022,29,9.11,66.0,60.95,0
T-022,30,9.08,67.4,40.89,0
T-023,1,8.17,67.54,60.98,0
T-023,2,6.96,64.41,54.86,0
T-023,3,8.02,69.15,65.1,0
T-023,4,7.65,70.62,50.96,0
T-023,5,10.11,58.87,48.61,0
T-023,6,7.61,67.8,54.86,0
