Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade,Parental_Education,Parental_Income,Extracurricular_Activities,Commute_Time,Part_Time_Job_Hours,Access_to_Resources,Peer_Study_Group,Health_Metrics
S00099,22,Female,34,Reading/Writing,17,No,86,44,95,Yes,Low,12,9,D,High School,40159.0,14,73,17,False,False,Excellent
S00100,24,Male,30,Kinesthetic,7,No,80,93,80,Yes,Low,1,7,A,PhD,218136.59999999998,15,94,6,True,False,Average
S00101,23,Female,11,Auditory,10,No,63,47,81,Yes,Low,0,4,D,High School,41702.0,22,41,27,False,False,Poor
S00102,26,Male,16,Reading/Writing,14,Yes,89,83,59,Yes,High,12,4,B,Master's,134993.9,20,163,16,True,True,Poor
S00103,20,Male,47,Auditory,5,No,73,68,59,Yes,Low,29,10,C,Bachelor's,74221.0,10,25,4,False,False,Excellent
S00104,18,Female,49,Visual,6,No,91,55,59,Yes,Medium,19,8,C,Bachelor's,77230.0,9,66,6,False,False,Average
S00105,26,Male,16,Kinesthetic,19,No,54,55,62,Yes,High,15,5,C,Bachelor's,54062.0,20,105,23,False,False,Poor
S00106,19,Female,38,Kinesthetic,0,Yes,74,40,68,No,Medium,27,9,D,High School,47806.0,13,69,16,False,True,Average
S00107,22,Male,41,Reading/Writing,18,Yes,56,54,81,Yes,Low,7,6,D,High School,34596.0,12,43,10,True,True,Average
S00108,22,Female,46,Reading/Writing,17,No,54,71,78,No,High,26,5,B,PhD,202993.4,10,58,4,True,False,Poor
S00109,21,Female,5,Reading/Writing,20,Yes,63,84,54,Yes,Medium,14,8,B,PhD,158587.3,24,69,21,True,False,Average
S00110,23,Female,23,Reading/Writing,7,Yes,61,98,50,Yes,Low,4,4,A,PhD,224370.74999999997,18,162,8,True,True,Poor
S00111,23,Male,10,Reading/Writing,17,No,52,61,51,Yes,High,17,4,C,Bachelor's,54640.0,22,45,24,False,False,Poor
S00112,25,Female,45,Kinesthetic,20,Yes,75,42,92,Yes,Medium,28,6,D,High School,20069.0,10,27,11,True,False,Average
S00113,21,Female,48,Visual,6,Yes,66,78,86,Yes,Medium,14,7,B,Master's,134548.84999999998,9,77,1,True,True,Average
S00114,27,Female,31,Reading/Writing,1,Yes,79,57,58,No,Low,20,7,C,Bachelor's,71447.0,15,141,14,False,True,Average
S00115,24,Male,33,Auditory,18,Yes,59,62,69,No,Low,8,10,C,Bachelor's,79782.0,14,109,12,False,True,Excellent
S00116,19,Female,23,Visual,6,No,56,59,81,Yes,Medium,27,10,C,Bachelor's,63122.0,18,32,18,False,False,Average
S00117,28,Female,23,Visual,2,No,76,89,98,No,High,28,10,A,Master's,121952.9,18,62,10,True,False,Poor
S00118,27,Male,13,Reading/Writing,5,No,79,63,80,Yes,Medium,5,8,C,Bachelor's,58522.0,21,49,22,False,True,Average
S00119,28,Female,36,Kinesthetic,0,No,52,48,68,Yes,High,15,8,D,High School,49747.0,13,169,15,False,False,Poor
S00120,28,Male,16,Visual,10,Yes,67,57,55,Yes,High,30,10,C,Bachelor's,64898.0,20,55,22,False,True,Poor
S00121,21,Female,15,Kinesthetic,16,No,97,95,72,Yes,Medium,4,4,A,PhD,185254.65,20,19,13,True,True,Poor
S00122,29,Other,26,Auditory,0,Yes,73,65,79,No,Medium,2,8,C,Bachelor's,57716.0,17,13,15,True,True,Average
S00123,24,Female,10,Visual,2,No,61,40,75,No,Low,23,5,D,High School,35510.0,22,104,30,False,False,Poor
S00124,25,Female,30,Auditory,4,No,58,81,57,Yes,Medium,27,8,B,Master's,96106.65,15,118,9,True,True,Average
S00125,21,Female,48,Kinesthetic,8,No,89,96,61,Yes,High,11,6,A,Master's,118402.84999999999,9,49,0,False,False,Poor
S00126,25,Female,24,Visual,2,No,73,79,70,No,High,15,7,B,PhD,146561.75,17,92,13,True,False,Poor
S00127,22,Female,39,Kinesthetic,6,Yes,64,74,52,Yes,Medium,20,4,B,Master's,119993.29999999999,12,138,6,False,True,Poor
S00128,28,Male,29,Auditory,19,No,99,83,92,No,Low,4,8,B,PhD,148375.3,16,113,9,True,False,Excellent
S00129,26,Other,40,Visual,2,Yes,91,59,61,Yes,Medium,23,7,C,Bachelor's,55181.0,12,90,10,True,True,Average
S00130,29,Female,30,Reading/Writing,17,Yes,92,77,52,No,Medium,2,7,B,PhD,204901.24999999997,15,96,10,False,True,Average
S00131,26,Female,14,Kinesthetic,16,Yes,89,73,67,Yes,Low,6,5,B,Master's,137147.84999999998,21,21,19,True,True,Poor
S00132,28,Male,32,Kinesthetic,2,No,66,79,61,No,Medium,20,8,B,PhD,194246.49999999997,15,61,9,True,False,Average
S00133,21,Male,10,Kinesthetic,4,Yes,58,58,88,Yes,High,5,4,C,Bachelor's,68830.0,22,119,25,False,True,Poor
S00134,18,Male,15,Reading/Writing,0,Yes,97,64,57,Yes,Medium,7,9,C,Bachelor's,58809.0,20,97,21,False,False,Average
S00135,20,Male,11,Kinesthetic,17,Yes,95,97,92,No,Medium,4,10,A,Master's,96115.84999999999,22,24,14,True,True,Average
S00136,28,Other,27,Reading/Writing,14,Yes,83,45,74,Yes,High,9,9,D,High School,48965.0,16,100,19,False,True,Poor
S00137,27,Female,12,Visual,5,Yes,68,87,52,No,Medium,19,8,A,PhD,168518.69999999998,21,154,17,True,True,Average
S00138,18,Male,14,Visual,2,Yes,84,80,84,No,Low,7,9,B,Master's,95507.49999999999,21,28,18,True,True,Excellent
S00139,21,Female,42,Kinesthetic,5,No,53,84,93,Yes,Low,16,4,B,Master's,94902.59999999999,11,45,3,True,False,Poor
S00140,27,Female,40,Visual,19,No,60,83,57,Yes,Low,21,10,B,Master's,128143.34999999999,12,157,4,True,False,Excellent
S00141,23,Female,21,Auditory,11,No,79,56,84,Yes,Medium,13,5,C,Bachelor's,76245.0,18,67,20,False,True,Poor
S00142,27,Male,17,Auditory,6,No,100,68,96,Yes,Low,13,9,C,Bachelor's,57839.0,20,40,19,False,False,Excellent
S00143,23,Female,43,Auditory,14,Yes,67,83,80,Yes,Medium,15,7,B,PhD,158530.94999999998,11,37,2,True,True,Average
S00144,23,Female,7,Auditory,11,No,73,95,59,Yes,Medium,8,8,A,PhD,229088.05,23,147,17,True,False,Average
S00145,21,Male,23,Visual,14,Yes,89,70,96,Yes,High,1,6,B,Master's,123562.9,18,105,15,False,True,Poor
S00146,21,Male,12,Reading/Writing,4,Yes,76,44,93,Yes,Low,0,4,D,High School,31942.0,21,87,28,True,True,Poor
S00147,20,Male,27,Reading/Writing,14,Yes,63,45,73,Yes,Medium,27,6,D,High School,23875.0,16,68,19,False,True,Average
S00148,21,Female,17,Visual,18,Yes,93,92,53,Yes,Low,8,7,A,Master's,135732.19999999998,20,79,13,True,True,Average
S00149,25,Male,42,Reading/Writing,8,Yes,70,88,86,Yes,Low,19,8,A,Master's,94678.34999999999,11,112,2,True,True,Excellent
S00150,18,Female,35,Visual,1,No,60,76,85,Yes,Medium,18,6,B,Master's,98236.45,14,119,8,True,False,Average
S00151,20,Female,37,Reading/Writing,13,Yes,52,55,80,No,Low,5,7,C,Bachelor's,69214.0,13,50,12,False,True,Average
S00152,28,Male,16,Visual,2,Yes,50,96,68,Yes,Medium,11,5,A,Master's,96376.9,20,178,13,True,True,Poor
S00153,28,Female,20,Visual,11,Yes,93,59,96,No,High,16,5,C,Bachelor's,77848.0,19,23,20,False,True,Poor
S00154,23,Male,30,Kinesthetic,18,No,68,80,77,Yes,Medium,23,5,B,Master's,118731.74999999999,15,99,10,False,False,Poor
S00155,21,Male,30,Auditory,10,No,68,53,69,Yes,Low,13,4,D,High School,30238.0,15,157,16,False,False,Poor
S00156,21,Male,46,Visual,19,No,91,92,91,No,Medium,15,8,A,Master's,99361.15,10,66,0,True,True,Average
S00157,26,Female,36,Kinesthetic,11,Yes,60,78,97,Yes,High,18,4,B,Master's,130352.49999999999,13,106,7,True,True,Poor
S00158,20,Female,45,Visual,14,Yes,62,74,58,Yes,High,19,4,B,Master's,134228.0,10,33,3,False,True,Poor
S00159,28,Male,11,Auditory,8,No,89,48,52,No,Medium,2,5,D,High School,38610.0,22,106,27,False,True,Poor
S00160,23,Male,42,Reading/Writing,8,No,84,54,55,Yes,Low,13,9,D,High School,43223.0,11,109,10,False,True,Excellent
S00161,29,Male,15,Auditory,9,No,89,71,51,Yes,Medium,11,10,B,Master's,106074.84999999999,20,162,19,True,False,Average
S00162,27,Male,29,Kinesthetic,18,Yes,94,98,57,Yes,Low,29,9,A,Master's,109374.2,16,147,5,True,False,Excellent
S00163,18,Female,6,Kinesthetic,4,No,50,46,97,Yes,Medium,0,4,D,High School,34574.0,23,46,30,True,False,Poor
S00164,24,Female,6,Auditory,8,No,61,63,85,Yes,Medium,22,7,C,Bachelor's,72656.0,23,17,26,True,True,Average
S00165,19,Male,47,Reading/Writing,11,Yes,56,72,52,Yes,Low,7,9,B,Master's,137139.8,10,63,3,True,True,Excellent
S00166,25,Male,20,Kinesthetic,10,Yes,61,59,98,Yes,Medium,21,4,C,Bachelor's,71213.0,19,75,20,False,False,Poor
S00167,22,Male,10,Reading/Writing,15,No,63,80,80,Yes,Low,19,4,B,Master's,125063.65,22,46,20,False,False,Poor
S00168,20,Male,49,Visual,3,Yes,69,47,56,Yes,High,6,9,D,High School,27156.0,9,42,8,False,True,Poor
S00169,21,Male,24,Visual,0,Yes,71,78,74,Yes,Medium,12,6,B,Master's,99722.24999999999,17,63,13,True,True,Average
S00170,28,Female,40,Reading/Writing,19,No,90,44,74,Yes,Low,18,9,D,High School,41458.0,12,84,14,False,False,Excellent
S00171,29,Male,8,Visual,1,Yes,91,92,83,No,Low,3,10,A,PhD,213564.19999999998,23,12,18,True,True,Excellent
S00172,22,Male,5,Auditory,3,Yes,86,61,96,Yes,Low,7,4,C,Bachelor's,62908.0,24,92,26,False,True,Poor
S00173,27,Male,35,Auditory,8,No,81,53,76,No,Low,22,4,D,High School,42453.0,14,55,13,False,False,Poor
S00174,27,Other,21,Visual,9,No,72,45,98,No,High,14,6,D,High School,24173.0,18,50,22,False,False,Poor
S00175,27,Female,43,Reading/Writing,11,Yes,66,80,99,Yes,High,2,6,B,PhD,204875.94999999998,11,20,3,True,False,Poor
S00176,18,Male,16,Visual,20,Yes,76,65,51,Yes,Medium,15,9,C,Bachelor's,51773.0,20,45,20,False,True,Average
S00177,24,Female,49,Visual,7,No,64,53,63,Yes,High,9,6,D,High School,32194.0,9,48,6,True,False,Poor
S00178,19,Male,27,Reading/Writing,9,Yes,53,41,64,Yes,Low,1,5,D,High School,40007.0,16,148,20,False,False,Poor
S00179,28,Male,18,Visual,12,No,74,73,93,Yes,Medium,21,10,B,PhD,219385.49999999997,19,79,17,True,False,Average
S00180,29,Female,31,Visual,0,Yes,80,94,61,Yes,Low,5,9,A,Master's,105289.4,15,22,5,True,False,Excellent
S00181,21,Male,20,Reading/Writing,19,Yes,59,53,74,Yes,Medium,22,4,D,High School,27487.0,19,108,21,True,True,Poor
S00182,28,Male,39,Kinesthetic,3,No,87,77,89,Yes,Low,8,4,B,Master's,120157.74999999999,12,35,5,True,False,Poor
S00183,27,Male,26,Reading/Writing,9,No,51,65,67,No,Medium,16,6,C,Bachelor's,57033.0,17,87,15,False,False,Average
S00184,21,Male,39,Auditory,13,Yes,70,75,82,No,Low,4,10,B,Master's,114270.9,12,50,6,True,True,Excellent
S00185,23,Male,28,Auditory,12,Yes,65,46,55,Yes,Medium,6,4,D,High School,34766.0,16,88,19,False,True,Poor
S00186,18,Female,41,Reading/Writing,6,Yes,61,87,70,Yes,Low,29,8,A,Master's,120647.65,12,95,2,True,False,Excellent
S00187,18,Female,21,Auditory,8,Yes,87,48,55,No,Medium,30,5,D,High School,45921.0,18,103,22,False,False,Poor
S00188,26,Female,8,Visual,2,No,88,96,74,Yes,Low,6,6,A,Master's,117456.4,23,45,17,True,True,Average
S00189,21,Female,26,Auditory,3,Yes,62,81,90,No,Medium,0,10,B,Master's,119764.45,17,45,11,True,True,Average
S00190,22,Male,32,Auditory,8,No,89,48,60,Yes,Low,29,4,D,High School,31146.0,15,21,17,False,False,Poor
S00191,23,Female,13,Visual,16,Yes,95,86,51,Yes,Low,22,9,A,PhD,223485.24999999997,21,171,16,True,True,Excellent
S00192,24,Female,34,Auditory,13,No,50,79,59,Yes,Medium,13,7,B,PhD,214410.59999999998,14,22,8,True,False,Average
S00193,23,Male,17,Reading/Writing,18,Yes,85,54,70,Yes,Medium,12,4,D,High School,25402.0,20,13,22,False,True,Poor
S00194,28,Male,9,Auditory,5,No,76,91,91,Yes,High,20,8,A,Master's,116785.95,22,36,17,False,False,Poor
S00195,27,Female,45,Kinesthetic,4,Yes,85,86,57,No,Medium,2,8,A,Master's,111070.45,10,24,0,True,False,Average
S00196,29,Female,26,Reading/Writing,4,No,67,78,82,No,Low,15,9,B,Master's,92113.84999999999,17,110,12,True,False,Excellent
S00197,20,Male,39,Kinesthetic,20,No,96,84,73,No,High,14,6,B,Master's,112430.9,12,115,4,True,False,Poor
S00198,24,Male,24,Auditory,20,Yes,52,51,96,Yes,Medium,25,10,D,High School,49901.0,17,53,20,False,False,Average
S00199,19,Male,29,Kinesthetic,11,Yes,77,69,98,No,Medium,12,5,C,Bachelor's,54230.0,16,105,12,False,True,Poor
S00200,28,Male,14,Kinesthetic,2,No,71,77,65,No,Medium,26,10,B,Master's,130976.95,21,118,18,True,False,Average
S00201,27,Male,22,Kinesthetic,3,Yes,66,69,65,Yes,Medium,1,9,C,Bachelor's,72341.0,18,37,16,False,True,Average
S00202,22,Male,38,Auditory,1,No,72,73,77,No,Medium,14,4,B,Master's,112189.4,13,90,7,True,False,Poor
S00203,22,Male,5,Visual,14,Yes,71,71,66,No,Medium,4,9,B,PhD,151108.84999999998,24,88,24,False,True,Average
S00204,26,Female,8,Visual,1,No,70,54,88,Yes,Low,21,5,D,High School,48827.0,23,119,27,True,False,Poor
S00205,22,Male,42,Reading/Writing,16,Yes,78,63,89,Yes,High,8,10,C,Bachelor's,62585.0,11,27,8,False,True,Poor
S00206,24,Female,40,Visual,13,No,93,88,53,Yes,Medium,15,5,A,Master's,112680.45,12,70,3,True,False,Poor
S00207,26,Male,36,Kinesthetic,6,Yes,67,88,68,Yes,High,8,10,A,PhD,210186.65,13,165,5,True,False,Poor
S00208,25,Female,38,Reading/Writing,1,Yes,83,51,74,Yes,Low,13,5,D,High School,42379.0,13,53,13,False,False,Poor
