Student_ID,Age,Study_Hours_per_Week,Online_Courses_Completed,Assignment_Completion_Rate,Exam_Score,Attendance_Rate,Sleep_Hours_per_Night,Parental_Income,Extracurricular_Activities,Commute_Time,Part_Time_Job_Hours,Time_Spent_on_Social_Media,Gender,Preferred_Learning_Style,Participation_in_Discussions,Use_of_Educational_Tech,Peer_Study_Group,Self_Reported_Stress_Level,Parental_Education,Health_Metrics,Final_Grade,Letter_Grade
S00020,22,26.4,12.81,71.57,70.33,74.3,6.2,54483.62,15.1,97.2,13.5,4.65,Male,Visual,No,Yes,False,High,High_School_Diploma,Average,79.83,C+
S00021,22,20.4,9.27,69.8,65.71,71.15,8.5,101280.45,16.38,98.5,13.5,3.59,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,82.78,B-
S00022,22,27.7,10.82,81.04,63.08,79.88,6.7,80999.61,11.86,126.9,17.8,4.54,Male,Visual,Yes,Yes,False,Medium,Some_College_No_Degree,Average,73.61,C
S00023,24,31.5,9.22,86.67,79.09,98.6,6.9,108746.41,13.6,84.1,9.6,3.25,Other,Visual,Yes,Yes,True,Low,Associate_Degree,Average,93.06,A
S00024,22,32.6,7.69,77.2,75.52,87.48,6.8,112707.87,15.7,83.2,14.9,4.15,Male,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,89.32,B+
S00025,20,29.2,9.59,74.07,67.94,74.73,9.0,82716.24,16.96,122.3,11.4,3.38,Female,Visual,No,Yes,False,Medium,Some_College_No_Degree,Excellent,77.02,C+
S00026,25,26.5,12.96,88.73,78.94,91.23,7.7,110627.56,18.49,77.2,8.1,2.71,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,92.77,A-
S00027,22,21.6,4.32,64.2,65.86,65.17,6.7,52953.99,13.95,79.1,16.2,3.66,Male,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Average,76.87,C
S00028,18,25.3,12.69,62.07,60.34,73.88,8.3,55762.67,16.38,114.4,9.3,3.63,Female,Visual,No,Yes,False,High,High_School_Diploma,Excellent,76.74,C
S00029,22,23.1,9.95,77.54,63.2,79.65,7.1,128626.23,16.43,112.8,15.3,3.66,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,86.71,B
S00030,18,34.0,13.06,72.27,62.47,77.67,7.3,62972.4,11.61,67.7,16.9,4.36,Male,Visual,No,Yes,False,High,High_School_Diploma,Average,77.75,C+
S00031,22,27.2,10.02,83.54,67.92,91.09,6.8,82063.21,15.4,41.6,15.4,2.39,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,86.73,B
S00032,22,23.5,12.42,72.55,69.1,79.52,8.3,79874.8,14.33,74.6,13.3,2.99,Male,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Excellent,81.99,B-
S00033,18,28.5,12.16,73.23,67.03,79.01,9.0,84383.39,17.26,54.3,8.7,3.05,Male,Visual,No,Yes,False,High,Some_College_No_Degree,Excellent,83.89,B
S00034,22,24.9,9.33,80.98,74.41,93.07,7.1,74624.07,16.94,30.6,11.6,3.23,Female,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,86.23,B
S00035,20,16.2,11.58,69.6,62.86,85.94,7.2,115653.07,16.6,34.2,16.6,3.73,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,84.78,B
S00036,20,16.3,8.88,64.78,54.52,74.44,9.1,71729.64,13.62,106.1,10.7,3.18,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Excellent,77.07,C+
S00037,24,17.8,9.91,74.05,67.16,78.19,6.9,115330.45,16.47,99.4,14.2,3.81,Male,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,85.08,B
S00038,24,6.8,6.81,60.81,49.49,61.14,6.9,97248.88,14.19,171.8,19.2,5.01,Male,Auditory,No,Yes,False,High,Some_College_No_Degree,Average,67.5,D
S00039,19,22.4,11.29,65.03,59.77,69.85,9.7,109373.67,16.53,91.2,17.5,3.51,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,80.08,B-
S00040,22,46.4,14.01,95.57,95.47,98.43,6.9,112205.11,17.06,85.4,2.4,3.97,Male,Kinesthetic,Yes,Yes,True,Medium,Associate_Degree,Average,99.02,A
S00041,22,29.3,10.91,83.26,66.64,79.45,5.9,74233.3,11.86,57.3,14.2,5.01,Male,Visual,Yes,Yes,False,Medium,Some_College_No_Degree,Poor,82.3,B-
S00042,23,16.3,7.71,74.74,63.87,88.42,7.7,99998.53,14.64,81.0,14.2,4.29,Male,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,82.44,B-
S00043,23,26.9,11.71,75.16,77.31,81.33,7.7,111075.3,16.75,126.7,15.0,3.29,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Average,82.44,B-
S00044,22,33.1,12.57,85.57,84.02,91.57,7.8,129966.69,16.73,65.8,6.8,3.53,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,95.12,A
S00045,21,34.0,11.89,80.64,70.35,77.89,6.3,50593.49,14.45,146.3,12.3,4.9,Female,Visual,Yes,Yes,False,Medium,High_School_Diploma,Average,74.75,C
S00046,23,22.6,10.91,67.88,69.99,76.4,7.2,126701.95,15.05,91.8,11.2,4.53,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,87.94,B+
S00047,22,29.9,7.7,77.23,76.27,83.94,7.2,92472.15,17.05,67.1,7.7,3.48,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,88.9,B+
S00048,25,14.3,4.37,79.71,72.62,95.74,7.1,123649.45,19.42,82.1,13.5,2.83,Female,Auditory,Yes,Yes,False,Low,Associate_Degree,Average,88.82,B+
S00049,20,27.3,12.83,75.59,64.0,75.94,6.5,58331.78,14.11,89.8,10.8,4.08,Female,Visual,Yes,Yes,False,Medium,High_School_Diploma,Average,80.46,B-
S00050,24,25.9,7.09,81.22,81.79,94.54,7.8,95547.18,18.03,90.2,11.3,3.21,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,86.61,B
S00051,23,34.1,15.22,92.9,79.21,93.16,7.7,101067.21,16.2,76.0,7.2,3.94,Other,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,93.78,A
S00052,20,18.8,7.76,64.43,58.73,73.45,7.2,83878.84,13.13,104.9,13.3,4.71,Female,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,77.98,C+
S00053,27,12.4,9.95,70.63,63.61,75.7,5.6,113770.76,14.16,122.2,17.0,5.68,Male,Auditory,No,Yes,False,Medium,Associate_Degree,Poor,77.73,C+
S00054,23,21.4,9.67,87.22,71.95,89.89,7.9,85718.55,18.52,80.1,7.9,2.98,Female,Reading/Writing,Yes,Yes,False,Low,Some_College_No_Degree,Average,86.37,B
S00055,23,22.8,8.45,79.28,69.79,76.93,7.8,64481.59,16.09,71.8,9.7,3.75,Male,Reading/Writing,Yes,Yes,False,Medium,High_School_Diploma,Average,82.56,B-
S00056,22,35.9,6.05,89.68,84.06,101.63,8.3,100407.55,16.47,50.9,7.0,1.73,Female,Kinesthetic,Yes,Yes,True,Low,Associate_Degree,Excellent,95.97,A
S00057,22,31.0,11.15,90.63,84.69,101.97,6.5,81226.97,18.4,40.8,6.9,2.51,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,92.65,A-
S00058,21,19.8,8.85,62.53,66.08,74.23,8.2,132100.72,17.82,121.2,11.2,4.09,Female,Reading/Writing,No,Yes,False,High,Bachelors_Degree,Excellent,81.71,B-
S00059,21,28.8,16.55,73.02,72.41,78.11,6.3,131592.22,17.04,109.0,13.5,4.38,Male,Visual,No,Yes,False,High,Bachelors_Degree,Average,88.89,B+
S00060,20,26.6,6.45,71.69,76.81,85.43,7.3,74004.25,18.95,28.4,11.5,3.46,Male,Visual,No,No,True,Medium,Some_College_No_Degree,Average,84.74,B
S00061,26,28.4,13.59,90.08,80.13,91.43,6.3,169991.44,14.76,136.2,12.7,3.52,Male,Visual,Yes,Yes,True,Low,Masters_Degree,Average,93.37,A
S00062,22,32.0,12.3,82.8,81.92,89.92,7.7,151675.65,16.61,105.3,11.3,4.55,Male,Visual,Yes,Yes,True,Medium,Bachelors_Degree,Average,93.48,A
S00063,23,16.9,5.97,71.45,63.33,74.44,7.2,67163.6,15.22,113.2,8.7,4.17,Male,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Average,79.66,C+
S00064,22,18.6,8.01,75.5,58.87,74.6,8.6,52896.56,13.98,64.9,13.4,2.88,Female,Reading/Writing,Yes,Yes,False,Medium,High_School_Diploma,Excellent,78.55,C+
S00065,22,34.4,8.97,78.64,82.59,93.55,7.4,95186.0,15.17,51.6,12.5,3.7,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,88.77,B+
S00066,24,15.1,8.15,59.49,69.19,67.37,7.2,55938.32,16.02,79.9,15.8,4.86,Male,Reading/Writing,No,Yes,False,High,High_School_Diploma,Average,76.03,C
S00067,20,39.0,13.43,78.73,83.78,85.26,6.7,78483.95,16.45,89.4,9.5,3.82,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,86.71,B
S00068,23,16.5,14.3,67.62,71.35,82.44,7.6,135575.53,18.15,115.6,8.1,4.46,Male,Reading/Writing,No,Yes,False,High,Bachelors_Degree,Average,88.01,B+
S00069,22,22.4,8.03,67.56,68.2,70.54,7.3,95364.03,15.48,106.4,13.7,4.35,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,80.74,B-
S00070,24,9.1,3.23,61.74,57.84,61.0,9.2,129247.67,14.34,140.3,16.4,4.46,Female,Auditory,No,Yes,False,High,Associate_Degree,Excellent,73.63,C
S00071,23,6.3,4.55,62.12,45.62,62.61,8.8,96208.55,15.28,133.0,16.9,4.28,Male,Auditory,No,Yes,False,High,Some_College_No_Degree,Excellent,69.02,D
S00072,24,22.1,9.53,85.85,67.72,84.03,6.6,85623.42,15.53,92.4,15.1,3.1,Female,Reading/Writing,Yes,Yes,False,Low,Some_College_No_Degree,Average,83.61,B
S00073,22,32.2,12.51,76.68,77.69,89.05,7.1,106794.28,15.01,75.0,7.4,4.08,Male,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,91.68,A-
S00074,18,43.3,14.0,86.19,72.93,87.33,7.2,65727.09,16.41,114.6,3.8,4.03,Male,Kinesthetic,Yes,Yes,True,Medium,High_School_Diploma,Average,86.9,B
S00075,23,27.7,14.08,79.58,69.75,75.3,6.6,59704.78,13.71,76.3,12.7,3.64,Male,Visual,Yes,Yes,False,Medium,High_School_Diploma,Average,82.02,B-
S00076,27,15.0,11.18,74.72,66.26,74.37,5.8,110318.05,12.59,123.5,19.0,5.79,Male,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Poor,75.87,C
S00077,22,32.8,11.55,78.71,78.42,77.72,6.7,58476.06,15.64,121.1,13.6,4.59,Male,Visual,Yes,Yes,False,Medium,High_School_Diploma,Average,74.91,C
S00078,21,25.3,14.83,75.49,55.31,70.35,6.1,43435.27,11.49,128.5,14.6,5.1,Male,Visual,Yes,Yes,False,Medium,High_School_Diploma,Average,68.46,D
S00079,18,24.5,14.01,75.06,64.73,77.63,8.4,128513.08,17.8,113.9,6.4,2.7,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,87.12,B+
S00080,21,32.7,11.16,79.46,79.75,91.24,7.8,139121.2,17.39,71.0,13.9,3.95,Male,Visual,Yes,Yes,True,Medium,Bachelors_Degree,Average,93.18,A
S00081,23,32.1,8.77,86.81,79.85,94.59,5.6,114113.54,17.26,82.7,11.8,4.2,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Poor,92.33,A-
S00082,23,15.6,7.57,61.66,72.32,76.0,7.4,133822.98,15.78,63.2,15.6,4.32,Male,Reading/Writing,No,Yes,False,High,Bachelors_Degree,Average,86.61,B
S00083,22,18.9,10.13,59.85,58.52,58.72,7.7,75430.72,12.06,138.3,14.0,4.93,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,69.52,D
S00084,22,24.8,11.64,79.22,70.42,86.58,7.2,42883.91,18.09,60.0,3.0,3.76,Other,Reading/Writing,Yes,Yes,False,Medium,High_School_Diploma,Average,85.04,B
S00085,23,22.2,9.58,78.32,72.73,88.57,8.1,86231.64,16.53,103.1,9.7,2.92,Female,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Excellent,85.06,B
S00086,21,19.5,7.66,72.62,53.32,77.25,7.8,89026.93,14.74,124.4,15.0,4.62,Male,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,73.97,C
S00087,22,18.8,8.3,69.29,67.64,74.98,8.6,79430.53,17.02,71.0,12.4,3.91,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Excellent,81.82,B-
S00088,23,23.7,10.42,80.6,74.3,74.48,7.3,113525.71,22.74,114.5,10.6,4.46,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,87.43,B+
S00089,21,18.1,9.11,72.58,59.37,72.04,8.9,72386.57,15.1,94.4,11.8,3.07,Male,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Excellent,77.64,C+
S00090,26,5.0,0.0,66.74,59.17,76.99,9.4,94547.92,15.14,112.0,17.9,3.14,Male,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Excellent,76.38,C
S00091,21,29.6,15.71,81.39,70.04,84.6,8.0,94572.57,15.17,103.4,8.7,3.98,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,85.39,B
S00092,18,35.0,20.0,87.86,75.82,97.57,8.0,153477.29,20.19,66.5,7.5,4.25,Male,Kinesthetic,Yes,Yes,True,Medium,Bachelors_Degree,Average,96.49,A
S00093,22,31.4,8.99,72.55,78.34,81.36,6.1,122654.56,16.95,113.9,16.0,4.08,Female,Visual,No,Yes,True,Medium,Associate_Degree,Average,87.58,B+
S00094,20,22.9,7.02,71.64,67.6,81.69,8.6,102375.09,15.91,78.7,7.8,3.04,Male,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Excellent,86.09,B
S00095,21,21.8,10.83,76.8,65.03,80.1,7.2,93310.81,17.46,51.7,17.3,3.9,Male,Reading/Writing,Yes,Yes,False,Medium,Some_College_No_Degree,Average,82.8,B-
S00096,18,25.6,10.92,63.45,67.22,80.09,8.5,90960.22,15.85,42.8,15.4,3.19,Other,Visual,No,Yes,True,Medium,Some_College_No_Degree,Excellent,81.84,B-
S00097,21,29.0,5.98,76.43,75.27,84.6,8.9,111738.13,13.97,50.0,15.1,1.28,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Excellent,87.06,B+
S00098,24,33.8,14.44,95.64,86.9,101.18,7.7,94798.07,19.18,48.7,8.0,3.51,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,94.03,A
S00099,23,21.2,7.31,63.84,72.04,71.13,7.9,98057.72,15.36,96.6,10.6,4.55,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,82.66,B-
S00100,26,29.0,8.26,83.0,81.28,81.21,6.6,109594.5,14.52,98.5,12.1,3.07,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,89.17,B+
S00101,23,22.2,10.35,79.36,71.52,83.09,8.5,162807.6,19.74,134.3,10.4,3.48,Other,Reading/Writing,Yes,Yes,False,Medium,Masters_Degree,Excellent,89.87,B+
S00102,21,11.7,6.24,54.99,55.47,65.26,7.6,97932.72,15.99,107.9,20.0,4.55,Male,Auditory,No,Yes,False,High,Some_College_No_Degree,Average,73.98,C
S00103,25,18.0,7.76,76.96,65.78,75.24,8.5,142302.16,15.32,115.3,16.1,1.79,Female,Reading/Writing,Yes,Yes,False,Low,Bachelors_Degree,Excellent,86.34,B
S00104,19,24.1,10.02,65.31,64.12,70.01,10.0,127006.77,15.49,111.6,9.6,3.33,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Excellent,84.78,B
S00105,19,26.9,12.13,69.35,68.67,78.93,6.9,115100.97,17.16,97.7,10.0,4.75,Male,Visual,No,Yes,False,High,Associate_Degree,Average,86.32,B
S00106,22,5.5,9.09,69.28,50.28,76.21,9.4,101862.07,18.74,102.0,10.3,3.45,Male,Auditory,No,Yes,False,High,Associate_Degree,Excellent,80.14,B-
S00107,21,22.9,10.87,69.04,65.42,79.35,7.0,91030.63,17.6,90.8,16.4,4.19,Male,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,81.97,B-
S00108,23,23.6,3.37,68.45,70.1,67.34,7.1,65468.67,14.82,109.1,19.0,4.05,Female,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Average,75.64,C
S00109,19,27.5,10.41,73.62,60.92,81.59,7.2,40294.61,14.37,83.3,11.3,3.82,Male,Visual,No,Yes,True,Medium,High_School_Diploma,Average,79.04,C+
S00110,22,29.5,13.48,76.11,74.78,76.9,7.3,109251.12,14.56,77.4,16.6,4.0,Male,Visual,Yes,Yes,False,Medium,Associate_Degree,Average,85.42,B
S00111,23,26.7,10.97,77.3,72.77,83.97,7.8,104804.85,14.23,101.3,17.3,2.7,Female,Visual,Yes,Yes,True,Low,Associate_Degree,Average,84.59,B
S00112,21,39.6,9.19,76.86,85.71,78.46,7.7,120817.51,17.44,110.7,4.4,3.99,Male,Kinesthetic,Yes,Yes,False,Medium,Associate_Degree,Average,93.01,A
S00113,22,17.6,11.47,71.49,69.11,85.36,8.1,90038.08,15.4,59.3,11.9,1.97,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Excellent,82.83,B-
S00114,25,34.3,10.58,92.03,88.16,101.99,6.9,131464.83,13.96,32.1,16.8,2.79,Male,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,97.2,A
S00115,20,33.5,17.1,88.01,82.51,90.19,9.3,141286.76,20.03,97.6,6.2,3.43,Female,Visual,Yes,Yes,True,Medium,Bachelors_Degree,Excellent,93.44,A
S00116,22,13.5,8.06,61.13,57.58,62.23,8.1,66163.62,15.91,128.4,16.5,4.07,Male,Auditory,No,Yes,False,High,High_School_Diploma,Excellent,67.55,D
S00117,24,27.1,7.89,90.08,67.27,84.22,6.7,95640.91,15.9,93.2,12.9,2.76,Female,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,87.22,B+
S00118,20,28.6,8.15,67.79,66.54,70.45,7.8,80332.05,15.3,109.0,10.9,4.65,Male,Visual,No,Yes,False,High,Some_College_No_Degree,Average,81.99,B-
S00119,24,28.4,13.57,81.58,78.21,86.01,4.5,99203.48,14.29,63.1,11.3,5.09,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Poor,88.9,B+
S00120,23,25.3,8.5,77.66,82.0,90.88,8.0,39754.72,17.69,10.0,11.5,2.3,Male,Visual,Yes,Yes,True,Low,High_School_Diploma,Average,84.51,B
S00121,24,10.6,7.48,75.29,57.64,77.57,8.4,120250.28,14.16,101.4,12.8,2.88,Male,Auditory,Yes,Yes,False,Medium,Associate_Degree,Excellent,82.48,B-
S00122,23,21.1,7.46,69.14,65.6,75.23,6.1,31333.23,12.85,90.6,16.3,4.69,Female,Reading/Writing,No,Yes,False,High,High_School_Diploma,Average,75.49,C
S00123,24,26.0,7.93,73.82,84.53,93.13,5.6,93914.54,18.12,79.2,10.8,4.95,Female,Visual,No,Yes,True,Medium,Some_College_No_Degree,Poor,87.65,B+
S00124,27,8.9,5.34,73.63,67.82,84.34,8.6,96341.22,17.82,74.2,17.0,3.07,Male,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Excellent,82.29,B-
S00125,20,33.3,11.89,74.58,67.82,77.34,7.2,61291.01,10.43,85.5,10.5,4.43,Female,Visual,No,Yes,False,High,High_School_Diploma,Average,79.51,C+
S00126,22,25.8,8.59,81.02,69.2,79.9,8.7,65036.65,17.35,76.3,11.7,3.25,Female,Visual,Yes,Yes,False,Medium,High_School_Diploma,Excellent,82.47,B-
S00127,24,26.0,10.77,78.65,79.25,90.7,6.6,104335.6,17.32,114.1,9.1,3.29,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Average,90.35,A-
S00128,22,21.0,5.66,73.78,65.35,81.66,7.5,75089.97,16.48,77.7,14.2,4.12,Female,Reading/Writing,No,Yes,False,Medium,Some_College_No_Degree,Average,82.58,B-
S00129,21,18.4,12.48,80.08,77.78,88.65,9.5,121343.44,22.32,55.1,1.2,2.84,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,91.37,A-
S00130,23,24.8,8.33,87.8,76.83,96.54,8.0,101076.15,18.54,44.2,16.2,2.19,Female,Reading/Writing,Yes,Yes,False,Low,Associate_Degree,Average,88.83,B+
S00131,24,21.2,9.2,81.9,75.82,93.03,7.6,123069.95,16.94,107.2,8.7,4.08,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,89.63,B+
S00132,25,13.2,2.36,66.6,60.11,64.38,7.1,66092.82,13.43,118.1,20.2,4.28,Female,Auditory,No,Yes,False,Medium,High_School_Diploma,Average,73.21,C
S00133,20,36.1,13.5,74.67,70.94,80.28,7.5,115155.88,11.11,115.5,13.1,4.52,Female,Kinesthetic,No,Yes,True,High,Associate_Degree,Average,84.56,B
S00134,25,30.6,14.11,85.91,81.14,85.75,5.9,88832.79,16.13,87.8,8.0,4.1,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Poor,90.16,A-
S00135,21,23.8,12.99,71.95,63.49,67.63,7.6,108470.72,16.91,131.3,11.0,4.79,Female,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Average,78.12,C+
S00136,27,6.0,6.11,75.74,67.48,86.9,8.3,156373.37,17.74,109.9,20.9,2.0,Female,Auditory,Yes,Yes,False,Low,Bachelors_Degree,Excellent,85.95,B
S00137,24,25.9,12.42,85.14,78.26,85.75,7.4,137685.25,19.37,74.6,10.0,2.96,Female,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,94.12,A
S00138,23,36.8,15.86,91.69,80.74,82.34,6.3,73655.3,15.34,122.8,2.4,4.45,Female,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Average,85.73,B
S00139,21,18.5,15.78,75.08,66.27,76.3,7.7,124097.53,17.89,102.8,12.2,3.96,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,84.02,B
S00140,24,33.2,9.94,84.81,79.84,93.25,7.2,89132.46,12.89,54.7,13.8,3.49,Male,Visual,Yes,Yes,True,Medium,Some_College_No_Degree,Average,88.43,B+
S00141,24,5.6,6.47,62.61,52.39,63.44,8.9,99772.58,17.25,137.9,12.6,3.97,Female,Auditory,No,Yes,False,High,Some_College_No_Degree,Excellent,71.85,C-
S00142,24,36.7,11.84,94.42,78.86,86.59,7.7,106093.82,16.47,124.9,6.4,3.25,Male,Kinesthetic,Yes,Yes,True,Low,Associate_Degree,Average,90.93,A-
S00143,22,23.9,10.4,76.36,73.06,86.84,7.3,135361.77,19.04,84.5,17.3,3.91,Male,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Average,88.32,B+
S00144,24,34.0,13.25,90.67,73.33,90.89,6.5,69018.14,13.7,59.7,12.6,3.66,Male,Visual,Yes,Yes,True,Medium,High_School_Diploma,Average,87.9,B+
S00145,20,23.4,12.54,74.61,62.21,76.94,8.2,104220.61,14.82,78.8,14.8,3.27,Male,Reading/Writing,No,Yes,False,Medium,Associate_Degree,Excellent,83.35,B
S00146,22,24.9,12.98,82.37,72.97,88.36,7.7,130143.59,17.99,89.1,2.7,3.81,Male,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Average,94.7,A
S00147,23,25.5,9.67,79.56,75.17,94.31,7.3,82247.73,14.86,53.5,12.1,2.17,Male,Visual,Yes,Yes,True,Low,Some_College_No_Degree,Average,86.71,B
