age;workclass;fnlwgt;education;education_num;marital_status;occupation;relationship;race;sex;capital_gain;capital_loss;hours_per_week;native_country;label
50.0;Self-emp-not-inc;146603.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
41.0;Private;95047.0;Assoc-voc;11.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;7688.0;0.0;44.0;United-States;>50K
53.0;Private;79324.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
32.0;Private;164243.0;HS-grad;9.0;Married-civ-spouse;Tech-support;Husband;White;Male;0.0;0.0;60.0;United-States;>50K
25.0;Private;163620.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;7298.0;0.0;84.0;United-States;>50K
42.0;Private;107762.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
65.0;Self-emp-inc;208452.0;Some-college;10.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;35.0;United-States;>50K
47.0;State-gov;80914.0;Masters;14.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;47.0;United-States;>50K
49.0;Self-emp-inc;158685.0;HS-grad;9.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;2377.0;40.0;United-States;>50K
38.0;Private;33001.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;55.0;United-States;>50K
25.0;Private;159662.0;HS-grad;9.0;Married-civ-spouse;Sales;Own-child;White;Male;0.0;0.0;26.0;United-States;>50K
47.0;Private;185385.0;10th;6.0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
31.0;Self-emp-inc;236415.0;Some-college;10.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;0.0;20.0;United-States;>50K
57.0;Private;183810.0;Some-college;10.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
45.0;Federal-gov;88564.0;Some-college;10.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;7688.0;0.0;40.0;United-States;>50K
44.0;Private;332401.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;99999.0;0.0;65.0;United-States;>50K
43.0;Private;111483.0;Some-college;10.0;Married-civ-spouse;Sales;Husband;White;Male;7298.0;0.0;40.0;United-States;>50K
53.0;State-gov;53197.0;Doctorate;16.0;Married-civ-spouse;Adm-clerical;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
31.0;Private;120460.0;Some-college;10.0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
40.0;Private;208277.0;Some-college;10.0;Divorced;Adm-clerical;Own-child;White;Female;0.0;0.0;44.0;United-States;>50K
35.0;Private;212465.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
39.0;Self-emp-not-inc;140752.0;HS-grad;9.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
43.0;Self-emp-not-inc;396758.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Wife;White;Female;0.0;1887.0;70.0;United-States;>50K
36.0;Private;383518.0;Some-college;10.0;Married-civ-spouse;Adm-clerical;Wife;Black;Female;99999.0;0.0;40.0;United-States;>50K
32.0;Private;116539.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;1887.0;55.0;United-States;>50K
51.0;Private;335997.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;4386.0;0.0;55.0;United-States;>50K
37.0;Private;305597.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
34.0;Private;50276.0;Bachelors;13.0;Never-married;Sales;Not-in-family;White;Male;27828.0;0.0;40.0;United-States;>50K
63.0;Self-emp-not-inc;125178.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
58.0;Self-emp-inc;154537.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Wife;White;Female;0.0;0.0;20.0;United-States;>50K
42.0;Local-gov;255675.0;Some-college;10.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
35.0;Private;125933.0;Bachelors;13.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;60.0;United-States;>50K
28.0;Private;209205.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
37.0;Private;254973.0;HS-grad;9.0;Married-civ-spouse;Handlers-cleaners;Wife;White;Female;0.0;0.0;40.0;United-States;>50K
56.0;Private;274111.0;Bachelors;13.0;Married-civ-spouse;Adm-clerical;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
44.0;Local-gov;254146.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
45.0;Private;107682.0;Masters;14.0;Divorced;Exec-managerial;Not-in-family;White;Female;0.0;0.0;40.0;United-States;>50K
36.0;Private;284166.0;HS-grad;9.0;Never-married;Sales;Unmarried;White;Male;0.0;0.0;60.0;United-States;>50K
40.0;Self-emp-not-inc;238574.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;55.0;United-States;>50K
42.0;Local-gov;238188.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;35.0;United-States;>50K
47.0;Self-emp-inc;332355.0;Masters;14.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;15024.0;0.0;50.0;United-States;>50K
36.0;Private;172256.0;HS-grad;9.0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0.0;0.0;44.0;United-States;>50K
43.0;Federal-gov;203637.0;Bachelors;13.0;Married-civ-spouse;Adm-clerical;Husband;White;Male;7298.0;0.0;40.0;United-States;>50K
29.0;Private;134890.0;Bachelors;13.0;Married-civ-spouse;Tech-support;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
58.0;Self-emp-not-inc;222311.0;HS-grad;9.0;Married-civ-spouse;Other-service;Husband;White;Male;7688.0;0.0;55.0;United-States;>50K
42.0;Private;190543.0;Some-college;10.0;Married-civ-spouse;Tech-support;Wife;White;Female;0.0;0.0;40.0;United-States;>50K
43.0;Private;35910.0;Some-college;10.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;43.0;United-States;>50K
58.0;Private;289364.0;Some-college;10.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;7688.0;0.0;45.0;United-States;>50K
38.0;Private;196554.0;Prof-school;15.0;Separated;Prof-specialty;Not-in-family;White;Male;0.0;0.0;35.0;United-States;>50K
34.0;Private;202450.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;55.0;United-States;>50K
30.0;Private;205659.0;Assoc-acdm;12.0;Married-civ-spouse;Exec-managerial;Wife;White;Female;0.0;0.0;50.0;Thailand;>50K
35.0;State-gov;177974.0;HS-grad;9.0;Married-civ-spouse;Protective-serv;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
46.0;Private;328216.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;15024.0;0.0;40.0;United-States;>50K
31.0;Private;226443.0;Some-college;10.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;55.0;United-States;>50K
33.0;Local-gov;511289.0;Assoc-voc;11.0;Married-civ-spouse;Protective-serv;Husband;White;Male;0.0;0.0;48.0;United-States;>50K
33.0;Private;159247.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
52.0;Self-emp-inc;181855.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;Other;Male;99999.0;0.0;65.0;United-States;>50K
50.0;Local-gov;183390.0;Bachelors;13.0;Separated;Prof-specialty;Not-in-family;White;Male;0.0;0.0;40.0;United-States;>50K
36.0;Local-gov;247807.0;Assoc-voc;11.0;Never-married;Protective-serv;Not-in-family;White;Male;0.0;0.0;40.0;United-States;>50K
44.0;Private;203943.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;Black;Male;0.0;0.0;35.0;United-States;>50K
46.0;State-gov;119904.0;Prof-school;15.0;Never-married;Prof-specialty;Not-in-family;White;Female;0.0;1564.0;55.0;United-States;>50K
39.0;Self-emp-not-inc;65716.0;Assoc-acdm;12.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;0.0;40.0;United-States;>50K
59.0;Self-emp-not-inc;181070.0;HS-grad;9.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;40.0;England;>50K
35.0;Private;185325.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
35.0;Self-emp-inc;340110.0;Some-college;10.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
58.0;Private;281792.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
54.0;Private;37237.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
47.0;Private;303637.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;49.0;United-States;>50K
49.0;Self-emp-not-inc;163352.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;85.0;United-States;>50K
44.0;Local-gov;83286.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Wife;White;Female;0.0;0.0;40.0;United-States;>50K
43.0;Private;295510.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
36.0;Self-emp-not-inc;151322.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
55.0;Self-emp-inc;124137.0;Some-college;10.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
33.0;Self-emp-not-inc;249249.0;5th-6th;3.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
47.0;Federal-gov;227244.0;Bachelors;13.0;Married-civ-spouse;Protective-serv;Husband;Black;Male;0.0;0.0;50.0;United-States;>50K
34.0;Private;36385.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
47.0;Self-emp-not-inc;199058.0;Prof-school;15.0;Never-married;Prof-specialty;Not-in-family;White;Male;0.0;0.0;40.0;United-States;>50K
28.0;Self-emp-inc;204247.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
29.0;Private;135296.0;Bachelors;13.0;Never-married;Exec-managerial;Not-in-family;White;Female;0.0;2258.0;45.0;United-States;>50K
39.0;Private;167728.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
38.0;Private;192337.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;England;>50K
43.0;Private;241895.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
50.0;Private;168539.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
30.0;Private;78980.0;Assoc-voc;11.0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
67.0;Private;279980.0;Some-college;10.0;Married-civ-spouse;Transport-moving;Husband;White;Male;10605.0;0.0;10.0;United-States;>50K
35.0;Private;30916.0;HS-grad;9.0;Married-civ-spouse;Transport-moving;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
51.0;Private;123011.0;Bachelors;13.0;Divorced;Exec-managerial;Not-in-family;White;Male;0.0;2559.0;50.0;United-States;>50K
52.0;Private;96359.0;Doctorate;16.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;57.0;United-States;>50K
43.0;Private;135606.0;Masters;14.0;Divorced;Exec-managerial;Not-in-family;White;Female;0.0;0.0;50.0;United-States;>50K
49.0;Private;102583.0;Some-college;10.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;1848.0;44.0;United-States;>50K
53.0;Self-emp-inc;96062.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;1902.0;48.0;United-States;>50K
43.0;Private;456236.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
63.0;State-gov;194682.0;Doctorate;16.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;1902.0;50.0;United-States;>50K
50.0;Private;189811.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
45.0;Private;186272.0;HS-grad;9.0;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male;7298.0;0.0;40.0;United-States;>50K
41.0;Private;384508.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
44.0;Self-emp-not-inc;37618.0;HS-grad;9.0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
50.0;Private;98350.0;Some-college;10.0;Married-civ-spouse;Adm-clerical;Husband;Asian-Pac-Islander;Male;0.0;0.0;40.0;Philippines;>50K
40.0;Private;226505.0;HS-grad;9.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;0.0;46.0;United-States;>50K
46.0;Private;358533.0;Some-college;10.0;Married-civ-spouse;Protective-serv;Husband;Black;Male;0.0;0.0;40.0;United-States;>50K
41.0;Self-emp-not-inc;252986.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
29.0;Private;391867.0;Assoc-voc;11.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
38.0;State-gov;134069.0;Masters;14.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;7298.0;0.0;60.0;United-States;>50K
34.0;Self-emp-inc;265917.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
47.0;Private;328216.0;Some-college;10.0;Married-civ-spouse;Tech-support;Husband;White;Male;7298.0;0.0;40.0;United-States;>50K
34.0;Private;581071.0;HS-grad;9.0;Separated;Adm-clerical;Not-in-family;White;Male;0.0;0.0;48.0;United-States;>50K
26.0;Private;193165.0;Some-college;10.0;Married-civ-spouse;Transport-moving;Husband;White;Male;0.0;0.0;52.0;United-States;>50K
46.0;Private;167515.0;Some-college;10.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;1977.0;50.0;United-States;>50K
45.0;Self-emp-inc;145290.0;HS-grad;9.0;Married-civ-spouse;Other-service;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
33.0;Private;232475.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
28.0;Private;160731.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;Poland;>50K
32.0;Private;175856.0;Bachelors;13.0;Married-civ-spouse;Tech-support;Husband;White;Male;0.0;1902.0;40.0;United-States;>50K
28.0;Private;200515.0;Some-college;10.0;Married-civ-spouse;Other-service;Husband;White;Male;0.0;0.0;35.0;United-States;>50K
47.0;State-gov;54887.0;Doctorate;16.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
39.0;Private;306646.0;Some-college;10.0;Married-civ-spouse;Sales;Husband;White;Male;3103.0;0.0;50.0;United-States;>50K
46.0;Private;154430.0;Masters;14.0;Divorced;Exec-managerial;Not-in-family;White;Female;0.0;0.0;50.0;United-States;>50K
53.0;Private;30244.0;Assoc-acdm;12.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;15024.0;0.0;40.0;United-States;>50K
42.0;Private;203554.0;Masters;14.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;60.0;United-States;>50K
48.0;Private;199590.0;HS-grad;9.0;Married-civ-spouse;Other-service;Husband;White;Male;0.0;0.0;40.0;Mexico;>50K
28.0;Private;190060.0;HS-grad;9.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
41.0;Private;350387.0;Bachelors;13.0;Never-married;Prof-specialty;Not-in-family;White;Male;0.0;0.0;40.0;United-States;>50K
55.0;Private;105582.0;HS-grad;9.0;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;3103.0;0.0;40.0;United-States;>50K
43.0;Private;145441.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
36.0;Private;269722.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;55.0;United-States;>50K
71.0;Private;187493.0;HS-grad;9.0;Married-civ-spouse;Protective-serv;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
